gene_id	Uniprot	Pfam	Refseq	Nr	Tigrfam	COG	KEGG	Pathway	GO
assembly_00849	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase`	PF03033.17`Glyco_transf_28`Glycosyltransferase family 28 N-terminal domain;PF02350.16`Epimerase_2`UDP-N-acetylglucosamine 2-epimerase;PF04101.13`Glyco_tran_28_C`Glycosyltransferase family 28 C-terminal domain;PF13477.3`Glyco_trans_4_2`Glycosyl transferase 4-like;PF00201.15`UDPGT`UDP-glucoronosyl and UDP-glucosyl transferase;PF04989.9`CmcI`Cephalosporin hydroxylase;PF13439.3`Glyco_transf_4`Glycosyltransferase Family 4	WP_024863065.1`undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [Pediococcus acidilactici]	TIGR01426`MGT: glycosyltransferase, MGT family;TIGR04516`glycosyl_450act: glycosyltransferase, activator-dependent family;TIGR01133`murG: undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase`Cell wall/membrane/envelope biogenesis`M	assembly_00849`K02563	Peptidoglycan biosynthesis`ko00550;Vancomycin resistance`ko01502;Cell cycle - Caulobacter`ko04112	GO:0009252`peptidoglycan biosynthetic process`biological_process;GO:0050511`undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity`molecular_function;GO:0030259`lipid glycosylation`biological_process;GO:0005886`plasma membrane`cellular_component;GO:0051991`UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity`molecular_function;GO:0051301`cell division`biological_process;GO:0008360`regulation of cell shape`biological_process;GO:0071555`cell wall organization`biological_process;GO:0007049`cell cycle`biological_process;GO:0005975`carbohydrate metabolic process`biological_process
assembly_01549	Nucleotide-binding protein PEPE_0450`	PF03668.12`ATP_bind_2`P-loop ATPase protein family;PF13191.3`AAA_16`AAA ATPase domain	WP_005917387.1`RNase adapter RapZ	RNase adapter RapZ [Pediococcus acidilactici]	-	RNase adaptor protein for sRNA GlmZ degradation, contains a P-loop ATPase domain`Signal transduction mechanisms`T	-	-	GO:0005525`GTP binding`molecular_function;GO:0005524`ATP binding`molecular_function
assembly_01125	UPF0213 protein in ldhD 5'region`	PF01541.21`GIY-YIG`GIY-YIG catalytic domain	WP_002831531.1`GIY-YIG nuclease family protein	GIY-YIG nuclease family protein [Pediococcus acidilactici]	-	Predicted endonuclease, GIY-YIG superfamily`Replication, recombination and repair`L	-	-	-
assembly_01855	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase`	PF03808.10`Glyco_tran_WecB`Glycosyl transferase WecB/TagA/CpsF family	WP_123022592.1`WecB/TagA/CpsF family glycosyltransferase	WecB/TagA/CpsF family glycosyltransferase [Lactobacillus paracasei]	TIGR00696`wecG_tagA_cpsF: glycosyltransferase, WecB/TagA/CpsF family	-	assembly_01855`K05946	-	GO:0071555`cell wall organization`biological_process;GO:0019350`teichoic acid biosynthetic process`biological_process;GO:0047244`N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase activity`molecular_function
assembly_01648	Uncharacterized Nudix hydrolase YvcI`	PF00293.25`NUDIX`NUDIX domain;PF12535.5`Nudix_N`Hydrolase of X-linked nucleoside diphosphate N terminal	WP_004166736.1`NUDIX hydrolase	-	TIGR02705`nudix_YtkD: nucleoside triphosphatase YtkD	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family`Defense mechanisms`V	-	-	GO:0046872`metal ion binding`molecular_function;GO:0016787`hydrolase activity`molecular_function
assembly_00047	Proton/sodium-glutamate symport protein`	PF00375.15`SDF`Sodium:dicarboxylate symporter family	WP_005919886.1`cation:dicarboxylase symporter family transporter	cation:dicarboxylase symporter family transporter [Pediococcus acidilactici]	-	-	-	-	GO:0015813`L-glutamate transport`biological_process;GO:0016021`integral component of membrane`cellular_component;GO:0015293`symporter activity`molecular_function;GO:0005886`plasma membrane`cellular_component;GO:0015810`aspartate transport`biological_process
assembly_01352	Uncharacterized RNA pseudouridine synthase YtzG`	PF01479.22`S4`S4 domain;PF00849.19`PseudoU_synth_2`RNA pseudouridylate synthase	WP_024862473.1`rRNA pseudouridine synthase	rRNA pseudouridine synthase [Pediococcus acidilactici]	TIGR00093`TIGR00093: pseudouridine synthase;TIGR01621`RluA-like: pseudouridine synthase Rlu family protein, TIGR01621;TIGR00005`rluA_subfam: pseudouridine synthase, RluA family	-	-	-	GO:0005829`cytosol`cellular_component;GO:0003723`RNA binding`molecular_function;GO:0000455`enzyme-directed rRNA pseudouridine synthesis`biological_process;GO:0009982`pseudouridine synthase activity`molecular_function
assembly_00178	Poly(glycerol-phosphate) alpha-glucosyltransferase`	PF00534.17`Glycos_transf_1`Glycosyl transferases group 1;PF13692.3`Glyco_trans_1_4`Glycosyl transferases group 1;PF13524.3`Glyco_trans_1_2`Glycosyl transferases group 1	WP_024862687.1`glycosyltransferase	glycosyltransferase [Pediococcus acidilactici]	TIGR03713`acc_sec_asp1: accessory Sec system protein Asp1;TIGR04157`glyco_rSAM_CFB: glycosyltransferase, GG-Bacteroidales peptide system;TIGR04005`wcaL: colanic acid biosynthesis glycosyltransferase WcaL;TIGR02918`TIGR02918: accessory Sec system glycosylation protein GtfA;TIGR04063`stp3: PEP-CTERM/exosortase A-associated glycosyltransferase, Daro_2409 family;TIGR02470`sucr_synth: sucrose synthase;TIGR03088`stp2: sugar transferase, PEP-CTERM/EpsH1 system associated;TIGR02149`glgA_Coryne: glycogen synthase, Corynebacterium family;TIGR02472`sucr_P_syn_N: sucrose-phosphate synthase, putative, glycosyltransferase domain;TIGR03449`mycothiol_MshA: D-inositol-3-phosphate glycosyltransferase;TIGR04047`MSMEG_0565_glyc: glycosyltransferase, MSMEG_0565 family;TIGR03999`thiol_BshA: N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA;TIGR02468`sucrsPsyn_pln: sucrose phosphate synthase;TIGR04348`TIGR04348: putative glycosyltransferase, TIGR04348 family	Glycosyltransferase involved in cell wall bisynthesis`Cell wall/membrane/envelope biogenesis`M	-	-	GO:0019350`teichoic acid biosynthetic process`biological_process;GO:0005737`cytoplasm`cellular_component;GO:0071555`cell wall organization`biological_process;GO:0047265`poly(glycerol-phosphate) alpha-glucosyltransferase activity`molecular_function
assembly_00377	-	PF13583.3`Reprolysin_4`Metallo-peptidase family M12B Reprolysin-like;PF12388.5`Peptidase_M57`Dual-action HEIGH metallo-peptidase;PF13582.3`Reprolysin_3`Metallo-peptidase family M12B Reprolysin-like;PF03382.11`DUF285`Mycoplasma protein of unknown function, DUF285;PF00413.21`Peptidase_M10`Matrixin;PF13688.3`Reprolysin_5`Metallo-peptidase family M12	WP_024862896.1`BspA family leucine-rich repeat surface protein	BspA family leucine-rich repeat surface protein [Pediococcus acidilactici]	TIGR02167`Liste_lipo_26: bacterial surface protein 26-residue repeat	-	-	-	-
assembly_01617	Xaa-Pro dipeptidyl-peptidase`	PF02129.15`Peptidase_S15`X-Pro dipeptidyl-peptidase (S15 family);PF00326.18`Peptidase_S9`Prolyl oligopeptidase family;PF08530.7`PepX_C`X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain;PF09168.7`PepX_N`X-Prolyl dipeptidyl aminopeptidase PepX, N-terminal	WP_024862596.1`Xaa-Pro dipeptidyl-peptidase	Xaa-Pro dipeptidyl-peptidase [Pediococcus acidilactici]	TIGR00976`/NonD: hydrolase CocE/NonD family protein	-	-	-	GO:0008236`serine-type peptidase activity`molecular_function;GO:0008239`dipeptidyl-peptidase activity`molecular_function;GO:0005737`cytoplasm`cellular_component
assembly_01778	-	PF04909.11`Amidohydro_2`Amidohydrolase	WP_080681133.1`amidohydrolase	amidohydrolase [Pediococcus acidilactici]	-	-	-	-	-
assembly_00505	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta 1`	PF01039.19`Carboxyl_trans`Carboxyl transferase domain	WP_036667871.1`acetyl-CoA carboxyltransferase	acetyl-CoA carboxyltransferase [Pediococcus acidilactici]	TIGR00515`accD: acetyl-CoA carboxylase, carboxyl transferase, beta subunit;TIGR01117`mmdA: methylmalonyl-CoA decarboxylase alpha subunit;TIGR03133`malonate_beta: biotin-independent malonate decarboxylase, beta subunit	-	assembly_00505`K01963	Tetracycline biosynthesis`ko00253;Carbon fixation pathways in prokaryotes`ko00720;Fatty acid biosynthesis`ko00061;Propanoate metabolism`ko00640;Pyruvate metabolism`ko00620;Fatty acid metabolism`ko01212;Carbon metabolism`ko01200	GO:0008270`zinc ion binding`molecular_function;GO:0009317`acetyl-CoA carboxylase complex`cellular_component;GO:0005524`ATP binding`molecular_function;GO:0016743`carboxyl- or carbamoyltransferase activity`molecular_function;GO:2001295`malonyl-CoA biosynthetic process`biological_process;GO:0003989`acetyl-CoA carboxylase activity`molecular_function;GO:0006633`fatty acid biosynthetic process`biological_process
assembly_01532	-	-	WP_005919228.1`hypothetical protein	hypothetical protein [Pediococcus acidilactici]	-	-	-	-	-
assembly_01369	-	-	-	-	-	-	-	-	-
assembly_01608	-	PF07423.8`DUF1510`Protein of unknown function (DUF1510)	WP_058121010.1`hypothetical protein	hypothetical protein [Pediococcus acidilactici]	-	-	-	-	-
assembly_01286	Beta-galactosidase large subunit`	PF02837.15`Glyco_hydro_2_N`Glycosyl hydrolases family 2, sugar binding domain	WP_128688393.1`beta-galactosidase	beta-galactosidase [Pediococcus acidilactici]	-	-	assembly_01286`K01190	Other glycan degradation`ko00511;Galactose metabolism`ko00052;Sphingolipid metabolism`ko00600	GO:0004565`beta-galactosidase activity`molecular_function;GO:0005975`carbohydrate metabolic process`biological_process
assembly_01626	Uncharacterized membrane protein YceF`	PF04341.9`DUF485`Protein of unknown function, DUF485;PF03741.13`TerC`Integral membrane protein TerC family;PF04332.12`DUF475`Protein of unknown function (DUF475)	WP_002830029.1`TerC family protein	TerC family protein [Pediococcus acidilactici]	TIGR03718`R_switched_Alx: integral membrane protein, TerC family;TIGR03717`R_switched_YjbE: integral membrane protein, YjbE family;TIGR03716`R_switched_YkoY: integral membrane protein, YkoY family	Membrane protein TerC, possibly involved in tellurium resistance`Inorganic ion transport and metabolism`P	-	-	GO:0005886`plasma membrane`cellular_component;GO:0016021`integral component of membrane`cellular_component
assembly_00515	Cysteine--tRNA ligase`	PF01406.16`tRNA-synt_1e`tRNA synthetases class I (C) catalytic domain;PF14291.3`DUF4371`Domain of unknown function (DUF4371);PF09190.8`DALR_2`DALR domain;PF05165.9`GCH_III`GTP cyclohydrolase III;PF01921.15`tRNA-synt_1f`tRNA synthetases class I (K);PF00750.16`tRNA-synt_1d`tRNA synthetases class I (R);PF00133.19`tRNA-synt_1`tRNA synthetases class I (I, L, M and V);PF09334.8`tRNA-synt_1g`tRNA synthetases class I (M)	WP_024862956.1`cysteine--tRNA ligase	cysteine--tRNA ligase [Pediococcus acidilactici]	TIGR00396`leuS_bact: leucine--tRNA ligase;TIGR00467`lysS_arch: lysine--tRNA ligase;TIGR00395`leuS_arch: leucine--tRNA ligase;TIGR00392`ileS: isoleucine--tRNA ligase;TIGR03447`mycothiol_MshC: cysteine--1-D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase;TIGR00422`valS: valine--tRNA ligase;TIGR00398`metG: methionine--tRNA ligase;TIGR00435`cysS: cysteine--tRNA ligase	Cysteinyl-tRNA synthetase`Translation, ribosomal structure and biogenesis`J	assembly_00515`K01883	Aminoacyl-tRNA biosynthesis`ko00970	GO:0005737`cytoplasm`cellular_component;GO:0004817`cysteine-tRNA ligase activity`molecular_function;GO:0006423`cysteinyl-tRNA aminoacylation`biological_process;GO:0005524`ATP binding`molecular_function;GO:0008270`zinc ion binding`molecular_function
assembly_00914	Probable succinyl-diaminopimelate desuccinylase`	PF01546.25`Peptidase_M20`Peptidase family M20/M25/M40;PF04389.14`Peptidase_M28`Peptidase family M28;PF05343.11`Peptidase_M42`M42 glutamyl aminopeptidase;PF07687.11`M20_dimer`Peptidase dimerisation domain	WP_008841309.1`ArgE/DapE family deacylase	ArgE/DapE family deacylase [Pediococcus acidilactici]	TIGR01246`dapE_proteo: succinyl-diaminopimelate desuccinylase;TIGR01910`DapE-ArgE: peptidase, ArgE/DapE family;TIGR01880`Ac-peptdase-euk: N-acyl-L-amino-acid amidohydrolase;TIGR03526`selenium_YgeY: putative selenium metabolism hydrolase;TIGR01900`dapE-gram_pos: succinyl-diaminopimelate desuccinylase;TIGR01892`AcOrn-deacetyl: acetylornithine deacetylase (ArgE);TIGR01887`dipeptidaselike: putative dipeptidase;TIGR01902`dapE-lys-deAc: N-acetyl-ornithine/N-acetyl-lysine deacetylase;TIGR01883`PepT-like: peptidase T-like protein;TIGR01886`dipeptidase: dipeptidase PepV;TIGR01891`amidohydrolases: amidohydrolase	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase`Amino acid transport and metabolism`E	assembly_00914`K01439	Biosynthesis of amino acids`ko01230;Lysine biosynthesis`ko00300	GO:0046872`metal ion binding`molecular_function;GO:0009089`lysine biosynthetic process via diaminopimelate`biological_process;GO:0008237`metallopeptidase activity`molecular_function;GO:0019877`diaminopimelate biosynthetic process`biological_process;GO:0009014`succinyl-diaminopimelate desuccinylase activity`molecular_function
assembly_01098	-	PF12730.4`ABC2_membrane_4`ABC-2 family transporter protein;PF12679.4`ABC2_membrane_2`ABC-2 family transporter protein	WP_024862371.1`ABC transporter permease	ABC transporter permease [Pediococcus acidilactici]	-	-	-	-	-
