genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.16	HMPREF9024_00014	VBIPedAci303_0016		14936	15949	-	1014		Choloylglycine hydrolase (EC 3.5.1.24)	FIG00009563	PLF_1253_00000462	PGF_00931013		3.5.1.24|Choloylglycine hydrolase	00120|Primary bile acid biosynthesis;00121|Secondary bile acid biosynthesis
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.17	HMPREF9024_00015	VBIPedAci303_0017		16044	17111	-	1068		Putative membrane-spanning protein	FIG01228065	PLF_1253_00001235	PGF_02753289			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.18	HMPREF9024_00016	VBIPedAci303_0018		17123	17896	-	774		Beta-lactamase class A-like and penicillin binding proteins (PBPs) superfamily	FIG00000747	PLF_1253_00000862	PGF_00918177			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.19	HMPREF9024_00017	VBIPedAci303_0019		18805	19827	+	1023		hypothetical protein	FIG00638284	PLF_1253_00001253	PGF_00142393			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.20	HMPREF9024_00018	VBIPedAci303_0020		19877	20896	+	1020		hypothetical protein	FIG00638284	PLF_1253_00002256	PGF_00142393			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.21	HMPREF9024_00019	VBIPedAci303_0021		21089	21481	+	393		Transcriptional regulator, GntR family	FIG00621925	PLF_1253_00001098	PGF_06916656	GO:0003677|DNA binding;GO:0003700|transcription factor activity;GO:0005622|intracellular;GO:0006813|potassium ion transport;GO:0008324|cation transmembrane transporter activity;GO:0009058|biosynthetic process;GO:0030528|transcription regulator activity;GO:0045449|regulation of transcription		
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.22	HMPREF9024_00020	VBIPedAci303_0022		21459	22172	+	714		Efflux ABC transporter, ATP-binding protein	FIG00001005	PLF_1253_00000954	PGF_00884706			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.23	HMPREF9024_00021	VBIPedAci303_0023		22165	22923	+	759		hypothetical protein	FIG00906331	PLF_1253_00001448	PGF_02753333			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.24	HMPREF9024_00022	VBIPedAci303_0024		23020	23892	-	873		oxidoreductase of aldo/keto reductase family, subgroup 1	FIG01239241	PLF_1253_00001511	PGF_00402268			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.25	HMPREF9024_00023	VBIPedAci303_0025		23906	24655	-	750		Short-chain dehydrogenase/reductase SDR	FIG00546160	PLF_1253_00000707	PGF_09682510			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.26	HMPREF9024_00024	VBIPedAci303_0026		24669	25205	-	537		Galactoside O-acetyltransferase	FIG01312621	PLF_1253_00000914	PGF_00007139			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.27	HMPREF9024_00025	VBIPedAci303_0027		25330	26217	+	888		Transcriptional regulator, LysR family	FIG01304134	PLF_1253_00001020	PGF_07987589			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.28		VBIPedAci303_0028		26272	26502	+	231		hypothetical protein	FIG00638284	PLF_1253_00001551	PGF_02753411			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.29	HMPREF9024_00026	VBIPedAci303_0029		26819	27181	-	363		Integral membrane protein	FIG01227784	PLF_1253_00001354	PGF_01740747			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.30	HMPREF9024_00027	VBIPedAci303_0030		27464	27895	-	432		Universal stress protein family	FIG00017615	PLF_1253_00000777	PGF_05947556			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.31	HMPREF9024_00028	VBIPedAci303_0031		27895	29487	-	1593		Manganese transport protein MntH	FIG00554286	PLF_1253_00000522	PGF_00905234	GO:0005215|transporter activity;GO:0006810|transport;GO:0016020|membrane		
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.32	HMPREF9024_00029	VBIPedAci303_0032		29635	30315	-	681		hypothetical protein	FIG00906498	PLF_1253_00000814	PGF_08225224			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.33	HMPREF9024_00030	VBIPedAci303_0033		30330	31019	-	690		hypothetical protein	FIG00906057	PLF_1253_00000818	PGF_06957026			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.34	HMPREF9024_00031	VBIPedAci303_0034		31416	31943	+	528		Predicted membrane ancor connecting MutS2 with cell-division Z-ring	FIG00340141	PLF_1253_00001394	PGF_02753321			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.35	HMPREF9024_00032	VBIPedAci303_0035		31961	32194	+	234		hypothetical protein	FIG00906572	PLF_1253_00001534	PGF_02753395			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.36		VBIPedAci303_0036		32379	32519	-	141		hypothetical protein		PLF_1253_00002257	PGF_02753685			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.37	HMPREF9024_00033	VBIPedAci303_0037		32623	34413	+	1791		membrane-anchoring domain / Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	FIG00002239	PLF_1253_00000023	PGF_05822964	GO:0008889|glycerophosphodiester phosphodiesterase activity	3.1.4.46|Glycerophosphodiester phosphodiesterase	00564|Glycerophospholipid metabolism
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.38	HMPREF9024_00034	VBIPedAci303_0038		34782	36053	-	1272		Proton/glutamate symporter @ Sodium/glutamate symporter	FIG00008055	PLF_1253_00000624	PGF_04805734			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.39	HMPREF9024_00035	VBIPedAci303_0039		36241	36774	+	534		Histone acetyltransferase HPA2 and related acetyltransferases	FIG00001650	PLF_1253_00000407	PGF_01333742	GO:0008080|N-acetyltransferase activity		
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.40	HMPREF9024_00036	VBIPedAci303_0040		36970	37254	-	285		Antitoxin HigA	FIG00638284	PLF_1253_00001759	PGF_02753479			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.41	HMPREF9024_00037	VBIPedAci303_0041		37813	48252	-	10440		Predicted cell-wall-anchored protein SasA (LPXTG motif)	FIG00017618	PLF_1253_00001230	PGF_02214749	GO:0009986|cell surface		
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.42		VBIPedAci303_0042		48409	48570	-	162		hypothetical protein	FIG00638284	PLF_1253_00002270	PGF_02753697			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.43	HMPREF9024_00038	VBIPedAci303_0043		49302	49883	-	582		hypothetical protein	FIG01588162	PLF_1253_00001658	PGF_02753420			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.44	HMPREF9024_00039	VBIPedAci303_0044		49897	50736	-	840		hypothetical protein	FIG00638284	PLF_1253_00001449	PGF_08225224			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.45	HMPREF9024_00040	VBIPedAci303_0045		51059	52141	-	1083		Large repetitive protein	FIG00509816	PLF_1253_00001200	PGF_00016695			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.46		VBIPedAci303_0046		55735	56481	+	747		hypothetical protein	FIG00638284	PLF_1253_00002956	PGF_02754023			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.47	HMPREF9024_00042	VBIPedAci303_0047		57052	57690	-	639		FIG01964566: Predicted membrane protein, hemolysin III homolog	FIG01323667	PLF_1253_00000350	PGF_00002592			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.48	HMPREF9024_00043	VBIPedAci303_0048		57814	58266	+	453		hypothetical protein	FIG00638284	PLF_1253_00001517	PGF_02753379			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.49	HMPREF9024_00044	VBIPedAci303_0049		58406	61606	-	3201		hypothetical protein	FIG01349516	PLF_1253_00002448	PGF_08225224			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.50	HMPREF9024_00045	VBIPedAci303_0050		62174	62494	-	321		small multidrug resistance family (SMR) protein	FIG01321817	PLF_1253_00000638	PGF_00412640			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.51	HMPREF9024_00046	VBIPedAci303_0051		62643	63398	-	756		hypothetical protein	FIG00628089	PLF_1253_00001254	PGF_02753291			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.52	HMPREF9024_00047	VBIPedAci303_0052		63464	65107	-	1644		arylsulfate sulfotransferase	FIG01563193	PLF_1253_00001444	PGF_00068800			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.53	HMPREF9024_00048	VBIPedAci303_0053		65437	66498	-	1062		hypothetical protein	FIG00638284	PLF_1253_00001687	PGF_02753432			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.54	HMPREF9024_00049	VBIPedAci303_0054		66733	67203	-	471		hypothetical protein	FIG00638284	PLF_1253_00000811	PGF_03495345			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.55	HMPREF9024_00050	VBIPedAci303_0055		67228	68472	-	1245		hypothetical protein	FIG00638284	PLF_1253_00000806	PGF_08225224			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.56	HMPREF9024_00051	VBIPedAci303_0056		68654	70072	-	1419		Arginine/ornithine antiporter ArcD	FIG00001166	PLF_1253_00000203	PGF_00064610			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.57	HMPREF9024_00052	VBIPedAci303_0057		70172	71398	-	1227		Arginine deiminase (EC 3.5.3.6)	FIG00001104	PLF_1253_00000861	PGF_02462544	GO:0016990|arginine deiminase activity	3.5.3.6|Arginine deiminase	00330|Arginine and proline metabolism
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.58	HMPREF9024_00053	VBIPedAci303_0058		71451	72380	-	930		Carbamate kinase (EC 2.7.2.2)	FIG00000762	PLF_1253_00000880	PGF_02806641	GO:0008804|carbamate kinase activity	2.7.2.2|Carbamate kinase	00230|Purine metabolism;00330|Arginine and proline metabolism;00910|Nitrogen metabolism
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.59	HMPREF9024_00054	VBIPedAci303_0059		72393	73394	-	1002		Ornithine carbamoyltransferase (EC 2.1.3.3)	FIG00000084	PLF_1253_00000968	PGF_02346669	GO:0004585|ornithine carbamoyltransferase activity	2.1.3.3|Ornithine carbamoyltransferase	00330|Arginine and proline metabolism
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.60	HMPREF9024_00055	VBIPedAci303_0060		73707	74555	+	849		Two-component transcriptional response regulator, LuxR family	FIG00744956	PLF_1253_00001435	PGF_00062309			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.61	HMPREF9024_00056	VBIPedAci303_0061		74796	75344	-	549		Chromate reductase (EC 1.6.5.2)	FIG01315534	PLF_1253_00001393	PGF_05514477	GO:0003955|NAD(P)H dehydrogenase (quinone) activity	1.6.5.2|NAD(P)H dehydrogenase (quinone)	00130|Ubiquinone and other terpenoid-quinone biosynthesis
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.62	HMPREF9024_00057	VBIPedAci303_0062		75709	76893	-	1185		Acetyltransferase	FIG01313145	PLF_1253_00000239	PGF_00027383			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.63		VBIPedAci303_0063		76915	77085	-	171		hypothetical protein	FIG00906525	PLF_1253_00001523	PGF_02753384			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.64	HMPREF9024_00058	VBIPedAci303_0064		77088	78323	-	1236		PTS system, cellobiose-specific IIC component	FIG00029916	PLF_1253_00000014	PGF_00029610			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.65	HMPREF9024_00059	VBIPedAci303_0065		78618	79184	-	567		Transcriptional regulator, Xre family	FIG00742231	PLF_1253_00001431	PGF_06335969			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.66	HMPREF9024_00060	VBIPedAci303_0066		79571	80248	-	678		ABC transporter, ATP-binding protein	FIG01956052	PLF_1253_00000205	PGF_10425579			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.67	HMPREF9024_00061	VBIPedAci303_0067		80253	81311	-	1059		ABC transporter, permease protein	FIG01357720	PLF_1253_00000437	PGF_10545941			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.68	HMPREF9024_00062	VBIPedAci303_0068		81314	81817	-	504		Transcriptional regulator, AcrR family	FIG00554417	PLF_1253_00001015	PGF_10437833			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.69	HMPREF9024_00063	VBIPedAci303_0069		81893	83383	-	1491		Bis-ABC ATPase CAC0528	FIG00744535	PLF_1253_00000012	PGF_03013281			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.70	HMPREF9024_00064	VBIPedAci303_0070		83737	84468	-	732		hypothetical protein	FIG00906304	PLF_1253_00001035	PGF_08225224			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.71	HMPREF9024_00065	VBIPedAci303_0071		84726	85094	+	369		Protein of unknown function DUF1304	FIG00906249	PLF_1253_00001538	PGF_00156369			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.72	HMPREF9024_00066	VBIPedAci303_0072		85368	86564	-	1197		Uncharacterized MFS-type transporter	FIG00629664	PLF_1253_00000129	PGF_00909922			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.73	HMPREF9024_00067	VBIPedAci303_0073		86657	88054	-	1398		Replicative DNA helicase (DnaB) (EC 3.6.4.12)	FIG00134486	PLF_1253_00000648	PGF_10518765		3.6.4.12|DNA helicase	
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.74	HMPREF9024_00068	VBIPedAci303_0074		88104	88556	-	453		LSU ribosomal protein L9p	FIG00000205	PLF_1253_00000502	PGF_00016452	GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation		
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.75	HMPREF9024_00069	VBIPedAci303_0075		88562	90559	-	1998		Cyclic-di-AMP phosphodiesterase GdpP	FIG00011537	PLF_1253_00000588	PGF_00033444			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.76	HMPREF9024_00070	VBIPedAci303_0076		90772	91008	-	237		SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent	FIG00000127	PLF_1253_00000151	PGF_00049858	GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation		
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.77	HMPREF9024_00071	VBIPedAci303_0077		91038	91559	-	522		Single-stranded DNA-binding protein	FIG00077620	PLF_1253_00000001	PGF_02142873	GO:0003697|single-stranded DNA binding		
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.78	HMPREF9024_00072	VBIPedAci303_0078		91596	91883	-	288		SSU ribosomal protein S6p	FIG00000170	PLF_1253_00000696	PGF_00049901	GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation		
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.79	HMPREF9024_00073	VBIPedAci303_0079		92069	94600	-	2532		DNA gyrase subunit A (EC 5.99.1.3)	FIG00000080	PLF_1253_00000063	PGF_03272313	GO:0003918|DNA topoisomerase (ATP-hydrolyzing) activity	5.99.1.3|DNA topoisomerase (ATP-hydrolyzing)	
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.80	HMPREF9024_00074	VBIPedAci303_0080		94647	96593	-	1947		DNA gyrase subunit B (EC 5.99.1.3)	FIG00028203	PLF_1253_00000064	PGF_06703483	GO:0003918|DNA topoisomerase (ATP-hydrolyzing) activity	5.99.1.3|DNA topoisomerase (ATP-hydrolyzing)	
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.81	HMPREF9024_00075	VBIPedAci303_0081		96597	97721	-	1125		DNA recombination and repair protein RecF	FIG00000412	PLF_1253_00000896	PGF_10387199			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.82	HMPREF9024_00076	VBIPedAci303_0082		97722	97949	-	228		Uncharacterized S4 RNA-binding-domain protein YbcJ	FIG00002958	PLF_1253_00000911	PGF_06916058			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.83	HMPREF9024_00077	VBIPedAci303_0083		98546	99685	-	1140		DNA polymerase III beta subunit (EC 2.7.7.7)	FIG00066425	PLF_1253_00000895	PGF_06473395	GO:0003887|DNA-directed DNA polymerase activity	2.7.7.7|DNA-directed DNA polymerase	00230|Purine metabolism;00240|Pyrimidine metabolism
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.84	HMPREF9024_00078	VBIPedAci303_0084		99861	101201	-	1341		Chromosomal replication initiator protein DnaA	FIG00000441	PLF_1253_00000933	PGF_00876106			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.85	HMPREF9024_00079	VBIPedAci303_0085		101720	101854	+	135		LSU ribosomal protein L34p	FIG00000471	PLF_1253_00000940	PGF_00016418	GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation		
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.86	HMPREF9024_00080	VBIPedAci303_0086		101958	102317	+	360		Ribonuclease P protein component (EC 3.1.26.5)	FIG00092649	PLF_1253_00000992	PGF_08424570	GO:0004526|ribonuclease P activity	3.1.26.5|Ribonuclease P	
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.87	HMPREF9024_00081	VBIPedAci303_0087		102317	103156	+	840		Inner membrane protein translocase and chaperone YidC, short form OxaI-like	FIG00130900	PLF_1253_00000928	PGF_00014264			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.88	HMPREF9024_00082	VBIPedAci303_0088		103413	104807	+	1395		tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE	FIG00000279	PLF_1253_00000368	PGF_00007057			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.89	HMPREF9024_00083	VBIPedAci303_0089		104823	106730	+	1908		tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmG	FIG00000576	PLF_1253_00001054	PGF_00413300			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.90	HMPREF9024_00084	VBIPedAci303_0090		107157	107873	+	717		UPF0246 protein YaaA	FIG00002158	PLF_1253_00001436	PGF_00064270			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.91	HMPREF9024_00085	VBIPedAci303_0091		108059	108799	+	741		Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family	FIG00008348	PLF_1253_00001629	PGF_07256906	GO:0003677|DNA binding;GO:0003700|transcription factor activity;GO:0005622|intracellular;GO:0030528|transcription regulator activity;GO:0045449|regulation of transcription		
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.92	HMPREF9024_00086	VBIPedAci303_0092		108799	110124	+	1326		Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases	FIG00011140	PLF_1253_00001574	PGF_12868092			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.93	HMPREF9024_00087	VBIPedAci303_0093		110121	111077	+	957		N4-(beta-N-acetylglucosaminyl)-L-asparaginase, putative	FIG00001484	PLF_1253_00001608	PGF_00024252			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.94	HMPREF9024_00088	VBIPedAci303_0094		111096	111620	+	525		Uncharacterized protein EF_1161	FIG00514001	PLF_1253_00001693	PGF_02145160			
563194.3	Pediococcus acidilactici 7_4	NZ_GG730083	PATRIC	CDS	fig|563194.3.peg.95	HMPREF9024_00089	VBIPedAci303_0095		111649	112962	+	1314		PTS system, cellobiose-specific IIC component	FIG00029916	PLF_1253_00001383	PGF_00029610			
