genome_id	genome_name	patric_id	refseq_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.34	HMPREF0623_0033	nanA	N-acetylneuraminate lyase (EC 4.1.3.3)	4.1.3.3	N-acetylneuraminate lyase	00520	Amino sugar and nucleotide sugar metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.36	HMPREF0623_0037	bglX	beta-glucosidase (EC 3.2.1.21)	3.2.1.21	Beta-glucosidase	00460	Cyanoamino acid metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.36	HMPREF0623_0037	bglX	beta-glucosidase (EC 3.2.1.21)	3.2.1.21	Beta-glucosidase	00500	Starch and sucrose metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.36	HMPREF0623_0037	bglX	beta-glucosidase (EC 3.2.1.21)	3.2.1.21	Beta-glucosidase	00940	Phenylpropanoid biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.39	HMPREF0623_0040	bglA	6-phospho-beta-glucosidase (EC 3.2.1.86)	3.2.1.86	6-phospho-beta-glucosidase	00010	Glycolysis / Gluconeogenesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.47	HMPREF0623_0048	galM	Aldose 1-epimerase (EC 5.1.3.3)	5.1.3.3	Aldose 1-epimerase	00010	Glycolysis / Gluconeogenesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.50	HMPREF0623_0051	araB	Ribulokinase (EC 2.7.1.16)	2.7.1.16	Ribulokinase	00040	Pentose and glucuronate interconversions
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.51	HMPREF0623_0052	araD	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	5.1.3.4	L-ribulose-5-phosphate 4-epimerase	00040	Pentose and glucuronate interconversions
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.51	HMPREF0623_0052	araD	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)	5.1.3.4	L-ribulose-5-phosphate 4-epimerase	00053	Ascorbate and aldarate metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.52	HMPREF0623_0053	araA	L-arabinose isomerase (EC 5.3.1.4)	5.3.1.4	L-arabinose isomerase	00040	Pentose and glucuronate interconversions
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.53	HMPREF0623_0054	ald	Alanine dehydrogenase (EC 1.4.1.1)	1.4.1.1	Alanine dehydrogenase	00250	Alanine, aspartate and glutamate metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.53	HMPREF0623_0054	ald	Alanine dehydrogenase (EC 1.4.1.1)	1.4.1.1	Alanine dehydrogenase	00430	Taurine and hypotaurine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.54	HMPREF0623_0055	ilvA	Threonine dehydratase, catabolic (EC 4.3.1.19) @ L-serine dehydratase, (PLP)-dependent (EC 4.3.1.17)	4.3.1.17	L-serine ammonia-lyase	00260	Glycine, serine and threonine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.54	HMPREF0623_0055	ilvA	Threonine dehydratase, catabolic (EC 4.3.1.19) @ L-serine dehydratase, (PLP)-dependent (EC 4.3.1.17)	4.3.1.17	L-serine ammonia-lyase	00270	Cysteine and methionine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.54	HMPREF0623_0055	ilvA	Threonine dehydratase, catabolic (EC 4.3.1.19) @ L-serine dehydratase, (PLP)-dependent (EC 4.3.1.17)	4.3.1.19	Threonine ammonia-lyase	00260	Glycine, serine and threonine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.54	HMPREF0623_0055	ilvA	Threonine dehydratase, catabolic (EC 4.3.1.19) @ L-serine dehydratase, (PLP)-dependent (EC 4.3.1.17)	4.3.1.19	Threonine ammonia-lyase	00290	Valine, leucine and isoleucine biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.62	HMPREF0623_0063	dhaT	1,3-propanediol dehydrogenase (EC 1.1.1.202)	1.1.1.202	1,3-propanediol dehydrogenase	00561	Glycerolipid metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.65	HMPREF0623_0066	adhC	Alcohol dehydrogenase (EC 1.1.1.1)	1.1.1.1	Alcohol dehydrogenase	00010	Glycolysis / Gluconeogenesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.65	HMPREF0623_0066	adhC	Alcohol dehydrogenase (EC 1.1.1.1)	1.1.1.1	Alcohol dehydrogenase	00071	Fatty acid metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.65	HMPREF0623_0066	adhC	Alcohol dehydrogenase (EC 1.1.1.1)	1.1.1.1	Alcohol dehydrogenase	00260	Glycine, serine and threonine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.65	HMPREF0623_0066	adhC	Alcohol dehydrogenase (EC 1.1.1.1)	1.1.1.1	Alcohol dehydrogenase	00350	Tyrosine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.65	HMPREF0623_0066	adhC	Alcohol dehydrogenase (EC 1.1.1.1)	1.1.1.1	Alcohol dehydrogenase	00625	Tetrachloroethene degradation
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.65	HMPREF0623_0066	adhC	Alcohol dehydrogenase (EC 1.1.1.1)	1.1.1.1	Alcohol dehydrogenase	00626	Naphthalene and anthracene degradation
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.65	HMPREF0623_0066	adhC	Alcohol dehydrogenase (EC 1.1.1.1)	1.1.1.1	Alcohol dehydrogenase	00830	Retinol metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.65	HMPREF0623_0066	adhC	Alcohol dehydrogenase (EC 1.1.1.1)	1.1.1.1	Alcohol dehydrogenase	00980	Metabolism of xenobiotics by cytochrome P450
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.65	HMPREF0623_0066	adhC	Alcohol dehydrogenase (EC 1.1.1.1)	1.1.1.1	Alcohol dehydrogenase	00982	Drug metabolism - cytochrome P450
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.68	HMPREF0623_0069	rhaB	Rhamnulokinase (EC 2.7.1.5)	2.7.1.5	Rhamnulokinase	00040	Pentose and glucuronate interconversions
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.68	HMPREF0623_0069	rhaB	Rhamnulokinase (EC 2.7.1.5)	2.7.1.5	Rhamnulokinase	00051	Fructose and mannose metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.70	HMPREF0623_0071	rhaA	L-rhamnose isomerase (EC 5.3.1.14)	5.3.1.14	L-rhamnose isomerase	00051	Fructose and mannose metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.71	HMPREF0623_0072	rhaD	Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	4.1.2.19	Rhamnulose-1-phosphate aldolase	00040	Pentose and glucuronate interconversions
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.71	HMPREF0623_0072	rhaD	Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	4.1.2.19	Rhamnulose-1-phosphate aldolase	00051	Fructose and mannose metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.76	HMPREF0623_0077	bgl	beta-glucosidase (EC 3.2.1.21)	3.2.1.21	Beta-glucosidase	00460	Cyanoamino acid metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.76	HMPREF0623_0077	bgl	beta-glucosidase (EC 3.2.1.21)	3.2.1.21	Beta-glucosidase	00500	Starch and sucrose metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.76	HMPREF0623_0077	bgl	beta-glucosidase (EC 3.2.1.21)	3.2.1.21	Beta-glucosidase	00940	Phenylpropanoid biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.77	HMPREF0623_0078		N-acetylmannosamine kinase (EC 2.7.1.60)	2.7.1.60	N-acylmannosamine kinase	00520	Amino sugar and nucleotide sugar metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.93	HMPREF0623_0094	tktA	Transketolase (EC 2.2.1.1)	2.2.1.1	Transketolase	00030	Pentose phosphate pathway
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.93	HMPREF0623_0094	tktA	Transketolase (EC 2.2.1.1)	2.2.1.1	Transketolase	00710	Carbon fixation in photosynthetic organisms
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.93	HMPREF0623_0094	tktA	Transketolase (EC 2.2.1.1)	2.2.1.1	Transketolase	01051	Biosynthesis of ansamycins
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.94	HMPREF0623_0095	tal	Transaldolase (EC 2.2.1.2)	2.2.1.2	Transaldolase	00030	Pentose phosphate pathway
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.97	HMPREF0623_0098	galM2	Aldose 1-epimerase (EC 5.1.3.3)	5.1.3.3	Aldose 1-epimerase	00010	Glycolysis / Gluconeogenesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.99	HMPREF0623_0100	lacM	beta-galactosidase small subunit (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	00052	Galactose metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.99	HMPREF0623_0100	lacM	beta-galactosidase small subunit (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	00531	Glycosaminoglycan degradation
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.99	HMPREF0623_0100	lacM	beta-galactosidase small subunit (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	00600	Sphingolipid metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.99	HMPREF0623_0100	lacM	beta-galactosidase small subunit (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	00604	Glycosphingolipid biosynthesis - ganglio series
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.100	HMPREF0623_0101	lacL	beta-galactosidase large subunit (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	00052	Galactose metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.100	HMPREF0623_0101	lacL	beta-galactosidase large subunit (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	00531	Glycosaminoglycan degradation
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.100	HMPREF0623_0101	lacL	beta-galactosidase large subunit (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	00600	Sphingolipid metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.100	HMPREF0623_0101	lacL	beta-galactosidase large subunit (EC 3.2.1.23)	3.2.1.23	Beta-galactosidase	00604	Glycosphingolipid biosynthesis - ganglio series
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.101	HMPREF0623_0102	galK	Galactokinase (EC 2.7.1.6)	2.7.1.6	Galactokinase	00052	Galactose metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.101	HMPREF0623_0102	galK	Galactokinase (EC 2.7.1.6)	2.7.1.6	Galactokinase	00520	Amino sugar and nucleotide sugar metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.102	HMPREF0623_0103	galE	UDP-glucose 4-epimerase (EC 5.1.3.2)	5.1.3.2	UDP-glucose 4-epimerase	00052	Galactose metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.102	HMPREF0623_0103	galE	UDP-glucose 4-epimerase (EC 5.1.3.2)	5.1.3.2	UDP-glucose 4-epimerase	00520	Amino sugar and nucleotide sugar metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.103	HMPREF0623_0104	galT	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	2.7.7.10	UTP--hexose-1-phosphate uridylyltransferase	00052	Galactose metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.103	HMPREF0623_0104	galT	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	2.7.7.10	UTP--hexose-1-phosphate uridylyltransferase	00520	Amino sugar and nucleotide sugar metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.109	HMPREF0623_0110	trxB	Thioredoxin reductase (EC 1.8.1.9)	1.8.1.9	Thioredoxin-disulfide reductase	00240	Pyrimidine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.109	HMPREF0623_0110	trxB	Thioredoxin reductase (EC 1.8.1.9)	1.8.1.9	Thioredoxin-disulfide reductase	00450	Selenoamino acid metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.114	HMPREF0623_0116	argS	Arginyl-tRNA synthetase (EC 6.1.1.19)	6.1.1.19	Arginine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.117	HMPREF0623_0119	pbp2A	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	2.4.1.129	Peptidoglycan glycosyltransferase	00550	Peptidoglycan biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.131	HMPREF0623_0133	murC	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)	6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase	00471	D-Glutamine and D-glutamate metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.131	HMPREF0623_0133	murC	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)	6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase	00550	Peptidoglycan biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.133	HMPREF0623_0135	polA	DNA polymerase I (EC 2.7.7.7)	2.7.7.7	DNA-directed DNA polymerase	00230	Purine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.133	HMPREF0623_0135	polA	DNA polymerase I (EC 2.7.7.7)	2.7.7.7	DNA-directed DNA polymerase	00240	Pyrimidine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.135	HMPREF0623_0137	coaE	Dephospho-CoA kinase (EC 2.7.1.24)	2.7.1.24	Dephospho-CoA kinase	00770	Pantothenate and CoA biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.139	HMPREF0623_0141	thrS	Threonyl-tRNA synthetase (EC 6.1.1.3)	6.1.1.3	Threonine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.150	HMPREF0623_0153	nadD	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	2.7.7.18	Nicotinate-nucleotide adenylyltransferase	00760	Nicotinate and nicotinamide metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00130	Ubiquinone and other terpenoid-quinone biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00253	Tetracycline biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00340	Histidine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00350	Tyrosine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00360	Phenylalanine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00380	Tryptophan metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00450	Selenoamino acid metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00522	Biosynthesis of 12-, 14- and 16-membered macrolides
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00624	1- and 2-Methylnaphthalene degradation
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00627	1,4-Dichlorobenzene degradation
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00860	Porphyrin and chlorophyll metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00940	Phenylpropanoid biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00941	Flavonoid biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00942	Anthocyanin biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00950	Isoquinoline alkaloid biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	00981	Insect hormone biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	01051	Biosynthesis of ansamycins
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.153	HMPREF0623_0156		FIG145533: Methyltransferase (EC 2.1.1.-)	2.1.1.-	Methyltransferases.	01057	Biosynthesis of type II polyketide products
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.157	HMPREF0623_0159	gnd	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	1.1.1.44	Phosphogluconate dehydrogenase (decarboxylating)	00030	Pentose phosphate pathway
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.157	HMPREF0623_0159	gnd	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	1.1.1.44	Phosphogluconate dehydrogenase (decarboxylating)	00480	Glutathione metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.163	HMPREF0623_0165	acyP	Acylphosphate phosphohydrolase (EC 3.6.1.7)	3.6.1.7	Acylphosphatase	00620	Pyruvate metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.163	HMPREF0623_0165	acyP	Acylphosphate phosphohydrolase (EC 3.6.1.7)	3.6.1.7	Acylphosphatase	00627	1,4-Dichlorobenzene degradation
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.167	HMPREF0623_0169	pheS	Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)	6.1.1.20	Phenylalanine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.168	HMPREF0623_0170	pheT	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)	6.1.1.20	Phenylalanine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.170	HMPREF0623_0172	udk	Uridine kinase (EC 2.7.1.48)	2.7.1.48	Uridine kinase	00240	Pyrimidine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.170	HMPREF0623_0172	udk	Uridine kinase (EC 2.7.1.48)	2.7.1.48	Uridine kinase	00983	Drug metabolism - other enzymes
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.175	HMPREF0623_0177	fthC	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	6.3.3.2	5-formyltetrahydrofolate cyclo-ligase	00670	One carbon pool by folate
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.178	HMPREF0623_0180	glk	Glucokinase (EC 2.7.1.2)	2.7.1.2	Glucokinase	00010	Glycolysis / Gluconeogenesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.178	HMPREF0623_0180	glk	Glucokinase (EC 2.7.1.2)	2.7.1.2	Glucokinase	00052	Galactose metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.178	HMPREF0623_0180	glk	Glucokinase (EC 2.7.1.2)	2.7.1.2	Glucokinase	00500	Starch and sucrose metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.178	HMPREF0623_0180	glk	Glucokinase (EC 2.7.1.2)	2.7.1.2	Glucokinase	00520	Amino sugar and nucleotide sugar metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.178	HMPREF0623_0180	glk	Glucokinase (EC 2.7.1.2)	2.7.1.2	Glucokinase	00521	Streptomycin biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.181	HMPREF0623_0183	glpQ	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	3.1.4.46	Glycerophosphodiester phosphodiesterase	00564	Glycerophospholipid metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.182	HMPREF0623_0184	miaA	tRNA dimethylallyltransferase (EC 2.5.1.75)	2.5.1.75	tRNA dimethylallyltransferase	00908	Zeatin biosynthesis
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.185	HMPREF0623_0187	glnA	Glutamine synthetase type I (EC 6.3.1.2)	6.3.1.2	Glutamate--ammonia ligase	00250	Alanine, aspartate and glutamate metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.185	HMPREF0623_0187	glnA	Glutamine synthetase type I (EC 6.3.1.2)	6.3.1.2	Glutamate--ammonia ligase	00330	Arginine and proline metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.185	HMPREF0623_0187	glnA	Glutamine synthetase type I (EC 6.3.1.2)	6.3.1.2	Glutamate--ammonia ligase	00630	Glyoxylate and dicarboxylate metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.185	HMPREF0623_0187	glnA	Glutamine synthetase type I (EC 6.3.1.2)	6.3.1.2	Glutamate--ammonia ligase	00910	Nitrogen metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.188	HMPREF0623_0190		Dimeric dUTPase (EC 3.6.1.23)	3.6.1.23	dUTP diphosphatase	00240	Pyrimidine metabolism
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.199	HMPREF0623_0202	folD	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9) / Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	1.5.1.5	Methylenetetrahydrofolate dehydrogenase (NADP(+))	00670	One carbon pool by folate
862514.3	Pediococcus acidilactici DSM 20284	fig|862514.3.peg.199	HMPREF0623_0202	folD	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9) / Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	1.5.1.5	Methylenetetrahydrofolate dehydrogenase (NADP(+))	00720	Reductive carboxylate cycle (CO2 fixation)
