Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Mass	EC number	Pathway	Function [CC]	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology IDs	Gene Ontology (molecular function)	Subcellular location [CC]
Q88WA5	METN1_LACPL	Methionine import ATP-binding protein MetN 1 (EC 7.4.2.11)	metN1 lp_1744	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	355	lp_1744	38431	7.4.2.11		FUNCTION: Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system. {ECO:0000255|HAMAP-Rule:MF_01719}.		plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; ABC-type D-methionine transporter activity [GO:0033232]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0005886; GO:0016887; GO:0033232	ABC-type D-methionine transporter activity [GO:0033232]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_01719}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01719}.
Q88WB6	IDI2_LACPL	Isopentenyl-diphosphate delta-isomerase (IPP isomerase) (EC 5.3.3.2) (Isopentenyl diphosphate:dimethylallyl diphosphate isomerase) (Isopentenyl pyrophosphate isomerase) (Type 2 isopentenyl diphosphate isomerase) (IDI-2)	fni lp_1732	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	348	lp_1732	38014	5.3.3.2		FUNCTION: Involved in the biosynthesis of isoprenoids. Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its allylic isomer, dimethylallyl diphosphate (DMAPP). {ECO:0000255|HAMAP-Rule:MF_00354}.	isoprenoid biosynthetic process [GO:0008299]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; FMN binding [GO:0010181]; isopentenyl-diphosphate delta-isomerase activity [GO:0004452]; magnesium ion binding [GO:0000287]; NADPH binding [GO:0070402]; oxidoreductase activity [GO:0016491]; isoprenoid biosynthetic process [GO:0008299]	GO:0000287; GO:0004452; GO:0005737; GO:0008299; GO:0010181; GO:0016491; GO:0070402	FMN binding [GO:0010181]; isopentenyl-diphosphate delta-isomerase activity [GO:0004452]; magnesium ion binding [GO:0000287]; NADPH binding [GO:0070402]; oxidoreductase activity [GO:0016491]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00354}.
Q88WF3	RSGA2_LACPL	Small ribosomal subunit biogenesis GTPase RsgA 2 (EC 3.6.1.-)	rsgA2 lp_1687	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	352	lp_1687	38312	3.6.1.-		FUNCTION: One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Helps release RbfA from mature subunits. May play a role in the assembly of ribosomal proteins into the subunit. Circularly permuted GTPase that catalyzes slow GTP hydrolysis, GTPase activity is stimulated by the 30S ribosomal subunit. {ECO:0000255|HAMAP-Rule:MF_01820}.	ribosomal small subunit biogenesis [GO:0042274]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; rRNA binding [GO:0019843]; ribosomal small subunit biogenesis [GO:0042274]	GO:0003924; GO:0005525; GO:0005737; GO:0019843; GO:0042274; GO:0046872	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; rRNA binding [GO:0019843]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01820}.
Q88WG0	ACCD2_LACPL	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta 2 (ACCase subunit beta 2) (Acetyl-CoA carboxylase carboxyltransferase subunit beta 2) (EC 2.1.3.15)	accD2 lp_1679	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	281	lp_1679	30944	2.1.3.15	PATHWAY: Lipid metabolism; malonyl-CoA biosynthesis; malonyl-CoA from acetyl-CoA: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01395}.	FUNCTION: Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl-CoA. {ECO:0000255|HAMAP-Rule:MF_01395}.	fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]	acetyl-CoA carboxylase complex [GO:0009317]	acetyl-CoA carboxylase complex [GO:0009317]; acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]; zinc ion binding [GO:0008270]; fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]	GO:0003989; GO:0005524; GO:0006633; GO:0008270; GO:0009317; GO:0016743; GO:2001295	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]; zinc ion binding [GO:0008270]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01395}.
Q88WG8	FABH2_LACPL	Beta-ketoacyl-[acyl-carrier-protein] synthase III 2 (Beta-ketoacyl-ACP synthase III 2) (KAS III 2) (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase 3 2) (3-oxoacyl-[acyl-carrier-protein] synthase III 2)	fabH2 lp_1671	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	328	lp_1671	35279	2.3.1.180	PATHWAY: Lipid metabolism; fatty acid biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01815}.	FUNCTION: Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched-chain and/or straight-chain of fatty acids. {ECO:0000255|HAMAP-Rule:MF_01815}.	fatty acid biosynthetic process [GO:0006633]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; beta-ketoacyl-acyl-carrier-protein synthase III activity [GO:0033818]; fatty acid biosynthetic process [GO:0006633]	GO:0004315; GO:0005737; GO:0006633; GO:0033818	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; beta-ketoacyl-acyl-carrier-protein synthase III activity [GO:0033818]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01815}.
Q88WG9	FABZ_LACPL	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)	fabZ fabZ1 lp_1670	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	147	lp_1670	15998	4.2.1.59		FUNCTION: Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs. {ECO:0000255|HAMAP-Rule:MF_00406}.	fatty acid biosynthetic process [GO:0006633]; lipid A biosynthetic process [GO:0009245]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; (3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity [GO:0019171]; (3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity [GO:0008659]; fatty acid biosynthetic process [GO:0006633]; lipid A biosynthetic process [GO:0009245]	GO:0005737; GO:0006633; GO:0008659; GO:0009245; GO:0019171	(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity [GO:0019171]; (3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity [GO:0008659]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00406}.
Q88WJ9	SMC_LACPL	Chromosome partition protein Smc	smc lp_1632	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	1185	lp_1632	131883			FUNCTION: Required for chromosome condensation and partitioning. {ECO:0000255|HAMAP-Rule:MF_01894}.	chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]; sister chromatid cohesion [GO:0007062]	chromosome [GO:0005694]; cytoplasm [GO:0005737]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]; sister chromatid cohesion [GO:0007062]	GO:0003677; GO:0005524; GO:0005694; GO:0005737; GO:0006260; GO:0007059; GO:0007062; GO:0016887; GO:0030261	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01894}.
Q88WK0	RNC_LACPL	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc lp_1631	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	231	lp_1631	26652	3.1.26.3		FUNCTION: Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Processes some mRNAs, and tRNAs when they are encoded in the rRNA operon. Processes pre-crRNA and tracrRNA of type II CRISPR loci if present in the organism. {ECO:0000255|HAMAP-Rule:MF_00104}.	mRNA processing [GO:0006397]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; ribonuclease III activity [GO:0004525]; rRNA binding [GO:0019843]; mRNA processing [GO:0006397]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	GO:0004525; GO:0005737; GO:0006364; GO:0006397; GO:0008033; GO:0019843; GO:0046872	metal ion binding [GO:0046872]; ribonuclease III activity [GO:0004525]; rRNA binding [GO:0019843]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00104}.
Q88WK2	PLSX_LACPL	Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	plsX lp_1628	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	348	lp_1628	37409	2.3.1.274	PATHWAY: Lipid metabolism; phospholipid metabolism. {ECO:0000255|HAMAP-Rule:MF_00019}.	FUNCTION: Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl-[acyl-carrier-protein] (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA. {ECO:0000255|HAMAP-Rule:MF_00019}.	fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; phosphate:acyl-[acyl carrier protein] acyltransferase activity [GO:0043811]; fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]	GO:0005737; GO:0006633; GO:0008654; GO:0043811	phosphate:acyl-[acyl carrier protein] acyltransferase activity [GO:0043811]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00019}. Note=Associated with the membrane possibly through PlsY. {ECO:0000255|HAMAP-Rule:MF_00019}.
Q88WK9	RSGA1_LACPL	Small ribosomal subunit biogenesis GTPase RsgA 1 (EC 3.6.1.-)	rsgA1 lp_1620	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	298	lp_1620	32953	3.6.1.-		FUNCTION: One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Helps release RbfA from mature subunits. May play a role in the assembly of ribosomal proteins into the subunit. Circularly permuted GTPase that catalyzes slow GTP hydrolysis, GTPase activity is stimulated by the 30S ribosomal subunit. {ECO:0000255|HAMAP-Rule:MF_01820}.	ribosomal small subunit biogenesis [GO:0042274]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; rRNA binding [GO:0019843]; ribosomal small subunit biogenesis [GO:0042274]	GO:0003924; GO:0005525; GO:0005737; GO:0019843; GO:0042274; GO:0046872	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; rRNA binding [GO:0019843]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01820}.
Q88WL7	KGUA_LACPL	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	gmk gmk1 lp_1612	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	206	lp_1612	23461	2.7.4.8		FUNCTION: Essential for recycling GMP and indirectly, cGMP. {ECO:0000255|HAMAP-Rule:MF_00328}.	phosphorylation [GO:0016310]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; guanylate kinase activity [GO:0004385]; phosphorylation [GO:0016310]	GO:0004385; GO:0005524; GO:0005737; GO:0016310	ATP binding [GO:0005524]; guanylate kinase activity [GO:0004385]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00328}.
Q88WM8	FOLD_LACPL	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	folD lp_1599	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	286	lp_1599	29583	1.5.1.5; 3.5.4.9	PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion. {ECO:0000255|HAMAP-Rule:MF_01576}.	FUNCTION: Catalyzes the oxidation of 5,10-methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10-formyltetrahydrofolate. {ECO:0000255|HAMAP-Rule:MF_01576}.	histidine biosynthetic process [GO:0000105]; methionine biosynthetic process [GO:0009086]; purine nucleotide biosynthetic process [GO:0006164]; tetrahydrofolate interconversion [GO:0035999]		methenyltetrahydrofolate cyclohydrolase activity [GO:0004477]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]; histidine biosynthetic process [GO:0000105]; methionine biosynthetic process [GO:0009086]; purine nucleotide biosynthetic process [GO:0006164]; tetrahydrofolate interconversion [GO:0035999]	GO:0000105; GO:0004477; GO:0004488; GO:0006164; GO:0009086; GO:0035999	methenyltetrahydrofolate cyclohydrolase activity [GO:0004477]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]	
Q88WP5	MIAA_LACPL	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)	miaA lp_1579	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	311	lp_1579	34730	2.5.1.75		FUNCTION: Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A). {ECO:0000255|HAMAP-Rule:MF_00185}.	tRNA processing [GO:0008033]		ATP binding [GO:0005524]; tRNA dimethylallyltransferase activity [GO:0052381]; tRNA processing [GO:0008033]	GO:0005524; GO:0008033; GO:0052381	ATP binding [GO:0005524]; tRNA dimethylallyltransferase activity [GO:0052381]	
Q88WR0	URK_LACPL	Uridine kinase (EC 2.7.1.48) (Cytidine monophosphokinase) (Uridine monophosphokinase)	udk lp_1562	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	209	lp_1562	24054	2.7.1.48	PATHWAY: Pyrimidine metabolism; CTP biosynthesis via salvage pathway; CTP from cytidine: step 1/3. {ECO:0000255|HAMAP-Rule:MF_00551}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via salvage pathway; UMP from uridine: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00551}.		CTP salvage [GO:0044211]; phosphorylation [GO:0016310]; UMP salvage [GO:0044206]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; cytidine kinase activity [GO:0043771]; uridine kinase activity [GO:0004849]; CTP salvage [GO:0044211]; phosphorylation [GO:0016310]; UMP salvage [GO:0044206]	GO:0004849; GO:0005524; GO:0005737; GO:0016310; GO:0043771; GO:0044206; GO:0044211	ATP binding [GO:0005524]; cytidine kinase activity [GO:0043771]; uridine kinase activity [GO:0004849]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00551}.
Q88WR2	SYFB_LACPL	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	pheT lp_1559	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	805	lp_1559	88119	6.1.1.20			phenylalanyl-tRNA aminoacylation [GO:0006432]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; transferase activity [GO:0016740]; tRNA binding [GO:0000049]; phenylalanyl-tRNA aminoacylation [GO:0006432]	GO:0000049; GO:0000287; GO:0004826; GO:0005524; GO:0005737; GO:0006432; GO:0016740	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; transferase activity [GO:0016740]; tRNA binding [GO:0000049]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00283}.
Q88WR3	SYFA_LACPL	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS lp_1558	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	348	lp_1558	39364	6.1.1.20			phenylalanyl-tRNA aminoacylation [GO:0006432]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; transferase activity [GO:0016740]; tRNA binding [GO:0000049]; phenylalanyl-tRNA aminoacylation [GO:0006432]	GO:0000049; GO:0000287; GO:0004826; GO:0005524; GO:0005737; GO:0006432; GO:0016740	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; transferase activity [GO:0016740]; tRNA binding [GO:0000049]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00281}.
Q88WR8	YIDC1_LACPL	Membrane protein insertase YidC 1 (Foldase YidC 1) (Membrane integrase YidC 1) (Membrane protein YidC 1)	yidC1 lp_1553	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	307	lp_1553	34248			FUNCTION: Required for the insertion and/or proper folding and/or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins. {ECO:0000255|HAMAP-Rule:MF_01811}.	protein transport [GO:0015031]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; membrane insertase activity [GO:0032977]; protein transport [GO:0015031]	GO:0005886; GO:0015031; GO:0032977	membrane insertase activity [GO:0032977]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_01811}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01811}.
Q88WU9	SYT_LACPL	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	thrS lp_1514	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	654	lp_1514	73819	6.1.1.3		FUNCTION: Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction: L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr). Also edits incorrectly charged L-seryl-tRNA(Thr). {ECO:0000255|HAMAP-Rule:MF_00184}.	threonyl-tRNA aminoacylation [GO:0006435]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; threonine-tRNA ligase activity [GO:0004829]; transferase activity [GO:0016740]; tRNA binding [GO:0000049]; threonyl-tRNA aminoacylation [GO:0006435]	GO:0000049; GO:0004829; GO:0005524; GO:0005737; GO:0006435; GO:0016740; GO:0046872	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; threonine-tRNA ligase activity [GO:0004829]; transferase activity [GO:0016740]; tRNA binding [GO:0000049]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00184}.
Q88WV3	COAE_LACPL	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	coaE lp_1510	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	197	lp_1510	21273	2.7.1.24	PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 5/5. {ECO:0000255|HAMAP-Rule:MF_00376}.	FUNCTION: Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A. {ECO:0000255|HAMAP-Rule:MF_00376}.	coenzyme A biosynthetic process [GO:0015937]; phosphorylation [GO:0016310]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; dephospho-CoA kinase activity [GO:0004140]; coenzyme A biosynthetic process [GO:0015937]; phosphorylation [GO:0016310]	GO:0004140; GO:0005524; GO:0005737; GO:0015937; GO:0016310	ATP binding [GO:0005524]; dephospho-CoA kinase activity [GO:0004140]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00376}.
Q88WV4	FPG_LACPL	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	mutM fpg lp_1509	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	274	lp_1509	30892	3.2.2.23; 4.2.99.18		FUNCTION: Involved in base excision repair of DNA damaged by oxidation or by mutagenic agents. Acts as DNA glycosylase that recognizes and removes damaged bases. Has a preference for oxidized purines, such as 7,8-dihydro-8-oxoguanine (8-oxoG). Has AP (apurinic/apyrimidinic) lyase activity and introduces nicks in the DNA strand. Cleaves the DNA backbone by beta-delta elimination to generate a single-strand break at the site of the removed base with both 3'- and 5'-phosphates. {ECO:0000255|HAMAP-Rule:MF_00103}.	base-excision repair [GO:0006284]		class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; damaged DNA binding [GO:0003684]; oxidized purine nucleobase lesion DNA N-glycosylase activity [GO:0008534]; zinc ion binding [GO:0008270]; base-excision repair [GO:0006284]	GO:0003684; GO:0006284; GO:0008270; GO:0008534; GO:0140078	class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; damaged DNA binding [GO:0003684]; oxidized purine nucleobase lesion DNA N-glycosylase activity [GO:0008534]; zinc ion binding [GO:0008270]	
Q88WW9	MOAC_LACPL	Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)	moaC lp_1492	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	163	lp_1492	17678	4.6.1.17	PATHWAY: Cofactor biosynthesis; molybdopterin biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01224}.	FUNCTION: Catalyzes the conversion of (8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate to cyclic pyranopterin monophosphate (cPMP). {ECO:0000255|HAMAP-Rule:MF_01224}.	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]		cyclic pyranopterin monophosphate synthase activity [GO:0061799]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	GO:0006777; GO:0061799	cyclic pyranopterin monophosphate synthase activity [GO:0061799]	
Q88WY1	MOAA_LACPL	GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)	moaA lp_1480	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	332	lp_1480	37728	4.1.99.22	PATHWAY: Cofactor biosynthesis; molybdopterin biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01225}.	FUNCTION: Catalyzes the cyclization of GTP to (8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate. {ECO:0000255|HAMAP-Rule:MF_01225}.	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	molybdopterin synthase complex [GO:0019008]	molybdopterin synthase complex [GO:0019008]; 4 iron, 4 sulfur cluster binding [GO:0051539]; GTP 3',8'-cyclase activity [GO:0061798]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; S-adenosyl-L-methionine binding [GO:1904047]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	GO:0005525; GO:0006777; GO:0019008; GO:0046872; GO:0051539; GO:0061798; GO:1904047	4 iron, 4 sulfur cluster binding [GO:0051539]; GTP 3',8'-cyclase activity [GO:0061798]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; S-adenosyl-L-methionine binding [GO:1904047]	
