orgId	gdb	gid	pathway	step	score	locusId	sysName	desc	locusId2	sysName2	desc2	blastBits	curatedIds	identity	blastCoverage	blastScore	curatedDesc	hmmBits	hmmId	hmmCoverage	hmmScore	hmmDesc	otherIds	otherBits	otherIdentity	otherCoverage
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	asn	asnB	2	1_787						726.1	CharProtDB::CH_005185	55.4	0.982594936708861	2	asparagine synthase (glutamine-hydrolysing) 1; EC 6.3.5.4	539.7	TIGR01536	1	2	asnB: asparagine synthase (glutamine-hydrolyzing) (EC 6.3.5.4)	metacyc::MONOMER-15525	413.3	37.3	0.9792
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	asn	asnB	2	1_2589						704.5	CharProtDB::CH_005185	52.9	0.995253164556962	2	asparagine synthase (glutamine-hydrolysing) 1; EC 6.3.5.4	538.0	TIGR01536	1	2	asnB: asparagine synthase (glutamine-hydrolyzing) (EC 6.3.5.4)	metacyc::MONOMER-15525	407.1	36.9	0.9792
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	asn	aspS2	2	1_1696						593.6	uniprot:SYDND_DESVH	51.2	0.940983606557377	2	RecName: Full=Aspartate--tRNA(Asp/Asn) ligase {ECO:0000255|HAMAP-Rule:MF_00044}; EC=6.1.1.23 {ECO:0000255|HAMAP-Rule:MF_00044}; AltName: Full=Aspartyl-tRNA synthetase {ECO:0000255|HAMAP-Rule:MF_00044}; Short=AspRS {ECO:0000255|HAMAP-Rule:MF_00044}; AltName: Full=Non-discriminating aspartyl-tRNA synthetase {ECO:0000255|HAMAP-Rule:MF_00044}; Short=ND-AspRS {ECO:0000255|HAMAP-Rule:MF_00044};						BRENDA::P36419,SwissProt::P36419,SwissProt::Q5SKD2	581.3	50.2	1
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	asn	aspS2	0	1_767						273.9	curated2:Q8TXG4	37.0	0.965197215777262	0	Aspartate--tRNA(Asp/Asn) ligase; EC 6.1.1.23; Aspartyl-tRNA synthetase; AspRS; Non-discriminating aspartyl-tRNA synthetase; ND-AspRS						BRENDA::P54263	455.7	52.1	0.995433789954338
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	asn	aspS2	0	1_1493						273.5	curated2:Q8TXG4	36.6	0.962877030162413	0	Aspartate--tRNA(Asp/Asn) ligase; EC 6.1.1.23; Aspartyl-tRNA synthetase; AspRS; Non-discriminating aspartyl-tRNA synthetase; ND-AspRS						BRENDA::P54263	468.8	53.2	1
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	asn	gatA	2	1_912						600.5	metacyc::MONOMER-13955	60.6	1	2	glutamyl-tRNA<sup>Gln</sup> amidotransferase subunit A (EC 6.3.5.7)	632.9	TIGR00132	0.993562231759657	2	gatA: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit (EC 6.3.5.-)	BRENDA::B1GY01	241.1	33.8	0.813819577735125
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	asn	gatB	2	1_913						637.9	SwissProt::Q9RF06	66.1	1	2	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B; Asp/Glu-ADT subunit B; EC 6.3.5.-	554.8	TIGR00133	0.993762993762994	2	gatB: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit (EC 6.3.5.-)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	asn	gatC	2	1_911						90.9	SwissProt::Q5XAC6	45.5	0.99	2	Glutamyl-tRNA(Gln) amidotransferase subunit C; Glu-ADT subunit C; EC 6.3.5.-	88.6	TIGR00135	1	2	gatC: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit (EC 6.3.5.-)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	chorismate	aroA	2	1_1725						392.1	SwissProt::Q9KCA6	46.9	0.997679814385151	2	3-phosphoshikimate 1-carboxyvinyltransferase 1; 5-enolpyruvylshikimate-3-phosphate synthase 1; EPSP synthase 1; EPSPS 1; EC 2.5.1.19	404.6	TIGR01356	0.995180722891566	2	aroA: 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	chorismate	aroB	2	1_864						698.0	curated2:Q88XU0	98.9	1	1	3-dehydroquinate synthase; DHQS; EC 4.2.3.4	360.4	TIGR01357	0.959302325581395	2	aroB: 3-dehydroquinate synthase (EC 4.2.3.4)	BRENDA::Q08VU0,SwissProt::Q08VU0	209.9	37.2	0.839901477832512
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	chorismate	aroC	2	1_1727						397.9	SwissProt::P0A2Y6	51.3	1	2	Chorismate synthase; CS; 5-enolpyruvylshikimate-3-phosphate phospholyase; EC 4.2.3.5	387.6	TIGR00033	0.98005698005698	2	aroC: chorismate synthase (EC 4.2.3.5)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	chorismate	aroD	2	1_2968						219.5	BRENDA::P58687,SwissProt::P58687	48.0	0.976190476190476	2	3-dehydroquinate dehydratase (EC 4.2.1.10);; 3-dehydroquinate dehydratase; 3-dehydroquinase; DHQD; Type I DHQase; Type I dehydroquinase; DHQ1; EC 4.2.1.10	237.0	TIGR01093	0.986899563318777	2	aroD: 3-dehydroquinate dehydratase, type I (EC 4.2.1.10)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	chorismate	aroE	2	1_2970						342.0	SwissProt::Q8Y9N5	58.0	0.986254295532646	2	Shikimate dehydrogenase (NADP(+)); SDH; EC 1.1.1.25									
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	chorismate	aroE	2	1_862						208.8	SwissProt::Q8Y9N5	41.0	0.962199312714777	2	Shikimate dehydrogenase (NADP(+)); SDH; EC 1.1.1.25	219.9	TIGR00507	0.988888888888889	2	aroE: shikimate dehydrogenase (EC 1.1.1.25)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	chorismate	aroG	2	1_863						270.0	BRENDA::Q9WYH8	43.9	0.985207100591716	2	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	365.6	TIGR01361	0.988461538461539	2	aroF: 3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	chorismate	aroL	1	1_1723						125.6	curated2:B2GCQ8	44.0	0.959537572254335	1	Shikimate kinase; SK; EC 2.7.1.71						reanno::Miya:8500213	66.2	30.9	0.859459459459459
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	chorismate	aroL	0	1_1840						42.4	curated2:A4X608	33.0	0.640718562874252	0	Shikimate kinase; SK; EC 2.7.1.71						SwissProt::A0QS28	162.2	31.8	0.850180505415162
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	chorismate	asd	2	1_2167						271.2	SwissProt::P23247	44.8	0.973293768545994	2	Aspartate-semialdehyde dehydrogenase 2; ASA dehydrogenase 2; ASADH 2; Aspartate-beta-semialdehyde dehydrogenase 2; EC 1.2.1.11	462.4	TIGR01296	0.994100294985251	2	asd: aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	CharProtDB::CH_024644,ecocyc::EG11059-MONOMER	181.4	31.0	0.976261127596439
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	chorismate	asp-kinase	2	1_1963						439.1	SwissProt::P94417,metacyc::MONOMER-6563	48.8	0.986784140969163	2	Aspartokinase 3; Aspartate kinase 3; Aspartokinase III; EC 2.7.2.4;; aspartate kinase III (EC 2.7.2.4)	246.4	TIGR00657	0.98868778280543	2	aspartate kinase (EC 2.7.2.4)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	chorismate	asp-kinase	2	1_786						412.9	CharProtDB::CH_090816	54.0	0.99009900990099	2	aspartate kinase 1; EC 2.7.2.4	284.8	TIGR00657	0.769230769230769	1	aspartate kinase (EC 2.7.2.4)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	chorismate	fbp	2	1_283						344.4	SwissProt::P0A4S2	61.5	0.979522184300341	2	Fructose-bisphosphate aldolase; FBP aldolase; FBPA; Fructose-1,6-bisphosphate aldolase; EC 4.1.2.13	374.2	TIGR01859	0.978723404255319	1	fba: fructose-1,6-bisphosphate aldolase, class II (EC 4.1.2.13)	SwissProt::P42420,metacyc::BSU39670-MONOMER	243.0	44.5	0.958620689655172
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	chorismate	tpiA	2	1_608						317.4	BRENDA::Q6GIL6,SwissProt::Q6GIL6	64.1	0.988142292490119	2	triose-phosphate isomerase (EC 5.3.1.1);; Triosephosphate isomerase; TIM; TPI; Triose-phosphate isomerase; EC 5.3.1.1	200.3	TIGR00419	1	2	tpiA: triose-phosphate isomerase (EC 5.3.1.1)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	chorismate	tpiA	0	1_607						450.7	BRENDA::P36204,SwissProt::P36204,metacyc::MONOMER-382	56.5	0.607033639143731	0	triose-phosphate isomerase (EC 5.3.1.1);; Bifunctional PGK/TIM; EC 2.7.2.3; EC 5.3.1.1;; Pgk (EC 2.7.2.3; EC 5.3.1.1)						SwissProt::Q8DQX8	480.3	60.7	1
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	cys	CBS	2	1_216						352.1	metacyc::HP0107-MONOMER	57.9	0.993464052287582	2	cystathionine &beta;-synthase (EC 4.2.1.22)						SwissProt::O05393	329.7	56.1	0.980456026058632
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	cys	CGL	2	1_215						608.6	BRENDA::B3TNN9	79.8	0.967005076142132	2	cystathionine gamma-lyase (subunit 1/2) (EC 4.4.1.1); cystathionine beta-lyase (EC 4.4.1.8)						BRENDA::Q1M0P5,SwissProt::Q1M0P5	451.8	58.7	1
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	cys	CGL	1	1_2213						309.7	BRENDA::A2RM21,CharProtDB::CH_005567	44.5	0.984210526315789	1	cystathionine gamma-lyase (EC 4.4.1.1); cystathionine beta-lyase (EC 4.4.1.8);; cystathionine beta-lyase; EC 4.4.1.8						SwissProt::O31631	388.3	55.3	0.975871313672922
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	cys	CGL	1	1_216						209.9	BRENDA::F4K5T2,SwissProt::F4K5T2	40.1	0.947368421052632	1	L-cysteine desulfidase (EC 4.4.1.28);; Bifunctional cystathionine gamma-lyase/cysteine synthase; Beta-substituted Ala synthase 4;3; ARAth-Bsas4;3; L-cysteine desulfhydrase 1; DES1; O-acetylserine (thiol)-lyase; OASTL; Protein CS-LIKE; EC 2.5.1.47; EC 4.4.1.1						metacyc::HP0107-MONOMER	352.1	57.9	0.993464052287582
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	cys	CGL	0	1_2142						213.0	BRENDA::P31373,SwissProt::P31373	32.0	0.99238578680203	0	cystathionine gamma-lyase (EC 4.4.1.1);; Cystathionine gamma-lyase; Gamma-cystathionase; Sulfur transfer protein 1; EC 4.4.1.1						CharProtDB::CH_124469,SwissProt::O13326	461.5	53.7	0.986013986013986
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	cys	Mt_cysM	0	1_216						164.5	BRENDA::P9WP53,SwissProt::P9WP53	35.0	0.925696594427245	0	 [CysO sulfur-carrier protein]-thiocarboxylate-dependent cysteine synthase (EC 2.5.1.113); O-phosphoserine sulfhydrylase (EC 2.5.1.65);; O-phosphoserine sulfhydrylase; OPS sulfhydrylase; CysO-thiocarboxylate-dependent cysteine synthase; Cysteine synthase B; CSase B; O-phosphoserine-specific cysteine synthase; [CysO sulfur-carrier protein]-thiocarboxylate-dependent cysteine synthase; EC 2.5.1.113						metacyc::HP0107-MONOMER	352.1	57.9	0.993464052287582
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	cys	PSSH	0	1_216						164.5	BRENDA::P9WP53,SwissProt::P9WP53	35.0	0.925696594427245	0	 [CysO sulfur-carrier protein]-thiocarboxylate-dependent cysteine synthase (EC 2.5.1.113); O-phosphoserine sulfhydrylase (EC 2.5.1.65);; O-phosphoserine sulfhydrylase; OPS sulfhydrylase; CysO-thiocarboxylate-dependent cysteine synthase; Cysteine synthase B; CSase B; O-phosphoserine-specific cysteine synthase; [CysO sulfur-carrier protein]-thiocarboxylate-dependent cysteine synthase; EC 2.5.1.113						metacyc::HP0107-MONOMER	352.1	57.9	0.993464052287582
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	cys	cysE	1	1_214						147.1	curated2:A8F961	47.5	0.732718894009217	1	Serine acetyltransferase; SAT; EC 2.3.1.30									
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	cys	cysK	1	1_2142						404.1	SwissProt::P06106,metacyc::YLR303W-MONOMER	47.4	0.97972972972973	1	Homocysteine/cysteine synthase; O-acetylserine/O-acetylhomoserine sulfhydrylase; OAS-OAH SHLase; OAS-OAH sulfhydrylase; EC 2.5.1.47; EC 2.5.1.49;; Met17 (EC 2.5.1.49)						CharProtDB::CH_124469,SwissProt::O13326	461.5	53.7	0.986013986013986
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	cys	cysK	1	1_216						341.3	curated2:Q9ZMW6	55.7	1	1	Cysteine synthase; CSase; EC 2.5.1.47; O-acetylserine (thiol)-lyase; OAS-TL; O-acetylserine sulfhydrylase						metacyc::HP0107-MONOMER	352.1	57.9	0.993464052287582
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	cys	serA	1	1_172						160.6	BRENDA::P0A9T0,CharProtDB::CH_088336,SwissProt::P0A9T0,ecocyc::PGLYCDEHYDROG-MONOMER	31.2	0.892682926829268	1	phosphoglycerate dehydrogenase (EC 1.1.1.95);; D-3-phosphoglycerate dehydrogenase; EC 1.1.1.95;; D-3-phosphoglycerate dehydrogenase; PGDH; 2-oxoglutarate reductase; EC 1.1.1.95; EC 1.1.1.399;; phosphoglycerate dehydrogenase (EC 1.1.1.95; EC 1.1.1.399)						SwissProt::Q9X1C1	140.6	34.0	0.797385620915033
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	cys	serA	0	1_2342						145.6	reanno::SB2B:6938941	33.8	0.853896103896104	0	Phosphoglycerate dehydrogenase (EC 1.1.1.95)						BRENDA::Q2VEQ7,SwissProt::Q2VEQ7	156.4	34.5	0.801948051948052
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	cys	serA	0	1_1745						136.3	SwissProt::P40054	30.1	0.654584221748401	0	D-3-phosphoglycerate dehydrogenase 1; 3-PGDH 1; 2-oxoglutarate reductase; EC 1.1.1.95; EC 1.1.1.399						BRENDA::C0LJH4	661.0	100.0	1
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	cys	serA	0	1_602						213.8	curated2:O27051	38.8	0.588571428571429	0	D-3-phosphoglycerate dehydrogenase; PGDH; EC 1.1.1.95						BRENDA::Q9C4M5,SwissProt::Q9C4M5	257.3	43.2	0.972809667673716
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	cys	serC	2	1_173						315.5	SwissProt::Q96255,metacyc::AT4G35630-MONOMER	46.2	0.830232558139535	2	Phosphoserine aminotransferase 1, chloroplastic; AtPSAT1; Phosphohydroxythreonine aminotransferase; EC 2.6.1.52;; phosphoserine aminotransferase (EC 2.6.1.52)	462.1	TIGR01364	1	2	serC: phosphoserine transaminase (EC 2.6.1.52)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	gln	gatA	2	1_912						600.5	metacyc::MONOMER-13955	60.6	1	2	glutamyl-tRNA<sup>Gln</sup> amidotransferase subunit A (EC 6.3.5.7)	632.9	TIGR00132	0.993562231759657	2	gatA: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit (EC 6.3.5.-)	BRENDA::B1GY01	241.1	33.8	0.813819577735125
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	gln	gatB	2	1_913						637.9	SwissProt::Q9RF06	66.1	1	2	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B; Asp/Glu-ADT subunit B; EC 6.3.5.-	554.8	TIGR00133	0.993762993762994	2	gatB: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit (EC 6.3.5.-)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	gln	gatC	2	1_911						90.9	SwissProt::Q5XAC6	45.5	0.99	2	Glutamyl-tRNA(Gln) amidotransferase subunit C; Glu-ADT subunit C; EC 6.3.5.-	88.6	TIGR00135	1	2	gatC: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit (EC 6.3.5.-)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	gln	glnA	2	1_1352						637.5	BRENDA::P12425,SwissProt::P12425	67.6	1	2	glutamine synthetase (EC 6.3.1.2);; Glutamine synthetase; GS; Glutamate--ammonia ligase; Glutamine synthetase I alpha; GSI alpha; EC 6.3.1.2	557.0	TIGR00653	0.995670995670996	2	glnA: glutamine synthetase, type I (EC 6.3.1.2)				
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	gln	gltX	2	1_502						568.5	metacyc::MONOMER-13959	56.0	0.989648033126294	2	glutamyl-tRNA<sup>Glx</sup> synthetase (EC 6.1.1.17; EC 6.1.1.24)						SwissProt::Q8DLI5	328.2	39.4	0.952577319587629
local__a63ec402d1dd265698c42e7d855c386c	local	a63ec402d1dd265698c42e7d855c386c	gly	agx1	0	1_294						267.7	BRENDA::D2Z0I0	39.2	0.95273631840796	0	alanine-glyoxylate transaminase (EC 2.6.1.44)						metacyc::BSU13580-MONOMER	528.1	65.7	0.982412060301508
