Gene_ID,Start,End,Strand,Nr_ID,Nr_Description,Kegg_Gene_Name,Kegg_Definition,Kegg_EC,Kegg_Pathway,GO_ID,GO_terms,COG_ID,COG_Description,CAZy_Subject_ID,CAZy_activities,CAZy_note
1_11 ,13279,13731,+,WP_003641637.1,MULTISPECIES: 50S ribosomal protein L9 [Lactobacillus],"RP-L9, MRPL9, rplI",large subunit ribosomal protein L9,--,ko03010 Ribosome;,GO:0003735,structural constituent of ribosome,gnl|CDD|223436,"COG0359, RplI, Ribosomal protein L9 [Translation, ribosomal structure and biogenesis].",--,--,--
1_12 ,13747,15171,+,WP_003641638.1,MULTISPECIES: replicative DNA helicase [Lactobacillus],dnaB,replicative DNA helicase ,EC:3.6.4.12,ko03030 DNA replication;ko04112 Cell cycle - Caulobacter;,GO:0003677,DNA binding,gnl|CDD|223382,"COG0305, DnaB, Replicative DNA helicase [DNA replication, recombination, and repair].",--,--,--
1_13 ,15393,16616,+,WP_003641639.1,MULTISPECIES: MFS transporter [Lactobacillus],--,--,--,--,GO:0016021,integral component of membrane,gnl|CDD|225371,"COG2814, AraJ, Arabinose efflux permease [Carbohydrate transport and metabolism].",--,--,--
1_14 ,16638,17435,+,WP_003643611.1,MULTISPECIES: glutamate 5-kinase [Lactobacillus],proB,glutamate 5-kinase ,EC:2.7.2.11,ko00330 Arginine and proline metabolism;ko00332 Carbapenem biosynthesis;ko01230 Biosynthesis of amino acids;,GO:0004349,glutamate 5-kinase activity,gnl|CDD|223341,"COG0263, ProB, Glutamate 5-kinase [Amino acid transport and metabolism].",--,--,--
1_15 ,17454,18692,+,WP_003641641.1,MULTISPECIES: glutamate-5-semialdehyde dehydrogenase [Lactobacillus],proA,glutamate-5-semialdehyde dehydrogenase ,EC:1.2.1.41,ko00330 Arginine and proline metabolism;ko00332 Carbapenem biosynthesis;ko01230 Biosynthesis of amino acids;,GO:0004350,glutamate-5-semialdehyde dehydrogenase activity,gnl|CDD|223093,"COG0014, ProA, Gamma-glutamyl phosphate reductase [Amino acid transport and metabolism].",--,--,--
1_16 ,18991,19119,+,OAZ76658.1,hypothetical protein SRCM101060_00050 [Lactobacillus plantarum],--,--,--,--,--,--,--,--,--,--,--
1_17 ,19153,20769,+,WP_003641642.1,MULTISPECIES: peptide ABC transporter substrate-binding protein [Lactobacillus],ABC.PE.S,peptide/nickel transport system substrate-binding protein,--,ko02024 Quorum sensing;,GO:0043190,ATP-binding cassette (ABC) transporter complex,gnl|CDD|226636,"COG4166, OppA, ABC-type oligopeptide transport system, periplasmic component [Amino acid transport and metabolism].",--,--,--
1_18 ,20817,21026,-,WP_013355074.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_19 ,21100,23004,+,WP_003641644.1,"MULTISPECIES: 1,4-alpha-glucan branching protein GlgB [Lactobacillus]","GBE1, glgB","1,4-alpha-glucan branching enzyme ",EC:2.4.1.18,ko00500 Starch and sucrose metabolism;,GO:0003824,catalytic activity,gnl|CDD|223373,"COG0296, GlgB, 1,4-alpha-glucan branching enzyme [Carbohydrate transport and metabolism].",AMX09059.1,alpha-amylase (EC 3.2.1.1); pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-alpha-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); alpha-glucosidase (EC 3.2.1.20); maltotetraose-forming alpha-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming alpha-amylase (EC 3.2.1.98); maltotriose-forming alpha-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-alpha-glucanotransferase (EC 2.4.1.25); maltopentaose-forming alpha-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); amino acid transporter.,"New: many members have been assigned to subfamilies as described by Stam et al. (2006) Protein Eng Des Sel. 19, 555-562 (PMID: 17085431)"
1_20 ,22994,24133,+,WP_003641645.1,MULTISPECIES: glucose-1-phosphate adenylyltransferase [Lactobacillus],glgC,glucose-1-phosphate adenylyltransferase ,EC:2.7.7.27,ko00500 Starch and sucrose metabolism;ko00520 Amino sugar and nucleotide sugar metabolism;ko02026 Biofilm formation - Escherichia coli;,GO:0005978,glycogen biosynthetic process,gnl|CDD|223525,"COG0448, GlgC, ADP-glucose pyrophosphorylase [Carbohydrate transport and metabolism].",AMC09045.1,"UDP-Glc: glycogen glucosyltransferase (EC 2.4.1.11); ADP-Glc: starch glucosyltransferase (EC 2.4.1.21); NDP-Glc: starch glucosyltransferase (EC 2.4.1.242); UDP-Glc: alpha-1,3-glucan synthase (EC 2.4.1.183) UDP-Glc: alpha-1,4-glucan synthase (EC 2.4.1.-)",nan
1_21 ,24130,25302,+,WP_003641646.1,MULTISPECIES: glucose-1-phosphate adenylyltransferase subunit GlgD [Lactobacillus],glgC,glucose-1-phosphate adenylyltransferase ,EC:2.7.7.27,ko00500 Starch and sucrose metabolism;ko00520 Amino sugar and nucleotide sugar metabolism;ko02026 Biofilm formation - Escherichia coli;,GO:0005978,glycogen biosynthetic process,gnl|CDD|223525,"COG0448, GlgC, ADP-glucose pyrophosphorylase [Carbohydrate transport and metabolism].",AIO18796.1,"UDP-Glc: glycogen glucosyltransferase (EC 2.4.1.11); ADP-Glc: starch glucosyltransferase (EC 2.4.1.21); NDP-Glc: starch glucosyltransferase (EC 2.4.1.242); UDP-Glc: alpha-1,3-glucan synthase (EC 2.4.1.183) UDP-Glc: alpha-1,4-glucan synthase (EC 2.4.1.-)",nan
1_22 ,25295,26734,+,WP_003641647.1,MULTISPECIES: glycogen synthase GlgA [Lactobacillus],glgA,starch synthase ,EC:2.4.1.21,ko00500 Starch and sucrose metabolism;ko02026 Biofilm formation - Escherichia coli;,GO:0004373,glycogen (starch) synthase activity,gnl|CDD|223374,"COG0297, GlgA, Glycogen synthase [Carbohydrate transport and metabolism].",AMX09062.1,"UDP-Glc: glycogen glucosyltransferase (EC 2.4.1.11); ADP-Glc: starch glucosyltransferase (EC 2.4.1.21); NDP-Glc: starch glucosyltransferase (EC 2.4.1.242); UDP-Glc: alpha-1,3-glucan synthase (EC 2.4.1.183) UDP-Glc: alpha-1,4-glucan synthase (EC 2.4.1.-)",nan
1_23 ,26754,27032,+,WP_102115664.1,glycogen/starch/alpha-glucan family phosphorylase [Lactobacillus plantarum],"PYG, glgP",glycogen phosphorylase ,EC:2.4.1.1,ko00500 Starch and sucrose metabolism;ko02026 Biofilm formation - Escherichia coli;ko04910 Insulin signaling pathway;ko04922 Glucagon signaling pathway;ko04931 Insulin resistance;,--,--,gnl|CDD|223136,"COG0058, GlgP, Glucan phosphorylase [Carbohydrate transport and metabolism].",ANM73858.1,glycogen or starch phosphorylase (EC 2.4.1.1).,nan
1_24 ,27110,28633,+,WP_102115664.1,glycogen/starch/alpha-glucan family phosphorylase [Lactobacillus plantarum],"PYG, glgP",glycogen phosphorylase ,EC:2.4.1.1,ko00500 Starch and sucrose metabolism;ko02026 Biofilm formation - Escherichia coli;ko04910 Insulin signaling pathway;ko04922 Glucagon signaling pathway;ko04931 Insulin resistance;,GO:0004645,phosphorylase activity,gnl|CDD|223136,"COG0058, GlgP, Glucan phosphorylase [Carbohydrate transport and metabolism].",ANM73858.1,glycogen or starch phosphorylase (EC 2.4.1.1).,nan
1_25 ,28680,29150,+,WP_103152581.1,glycogen/starch/alpha-glucan family phosphorylase [Lactobacillus sp. ATCC 15578],"PYG, glgP",glycogen phosphorylase ,EC:2.4.1.1,ko00500 Starch and sucrose metabolism;ko02026 Biofilm formation - Escherichia coli;ko04910 Insulin signaling pathway;ko04922 Glucagon signaling pathway;ko04931 Insulin resistance;,GO:0005975,carbohydrate metabolic process,gnl|CDD|223136,"COG0058, GlgP, Glucan phosphorylase [Carbohydrate transport and metabolism].",AGL62767.1,glycogen or starch phosphorylase (EC 2.4.1.1).,nan
1_26 ,29168,30985,+,WP_022638278.1,MULTISPECIES: glycoside hydrolase family 13 protein [Lactobacillus],--,--,--,--,GO:0003824,catalytic activity,gnl|CDD|223443,"COG0366, AmyA, Glycosidases [Carbohydrate transport and metabolism].",ALV13288.1,alpha-amylase (EC 3.2.1.1); pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-alpha-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); alpha-glucosidase (EC 3.2.1.20); maltotetraose-forming alpha-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming alpha-amylase (EC 3.2.1.98); maltotriose-forming alpha-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-alpha-glucanotransferase (EC 2.4.1.25); maltopentaose-forming alpha-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); amino acid transporter.,"New: many members have been assigned to subfamilies as described by Stam et al. (2006) Protein Eng Des Sel. 19, 555-562 (PMID: 17085431)"
1_27 ,31002,31097,+,KLD58173.1,hypothetical protein WP50_28225 [Lactobacillus plantarum],--,--,--,--,--,--,--,--,--,--,--
1_28 ,31318,32085,+,WP_003641650.1,MULTISPECIES: Cof-type HAD-IIB family hydrolase [Lactobacillus],SPP,sucrose-6-phosphatase&#160; ,EC:3.1.3.24,ko00500 Starch and sucrose metabolism;,GO:0016787,hydrolase activity,gnl|CDD|223635,"COG0561, Cof, Predicted hydrolases of the HAD superfamily [General function prediction only].",--,--,--
1_29 ,32237,32908,-,WP_003641651.1,MULTISPECIES: beta-phosphoglucomutase [Lactobacillus],pgmB,beta-phosphoglucomutase ,EC:5.4.2.6,ko00500 Starch and sucrose metabolism;,GO:0000287,magnesium ion binding,gnl|CDD|223710,"COG0637, COG0637, Predicted phosphatase/phosphohexomutase [General function prediction only].",AIQ71517.1,"alpha,alpha-trehalase (EC 3.2.1.28); maltose phosphorylase (EC 2.4.1.8); trehalose phosphorylase (EC 2.4.1.64); kojibiose phosphorylase (EC 2.4.1.230); trehalose-6-phosphate phosphorylase (EC 2.4.1.-);",nan
1_30 ,32926,35646,-,WP_003641652.1,MULTISPECIES: glycoside hydrolase family 65 protein [Lactobacillus],--,--,--,--,GO:0003824,catalytic activity,gnl|CDD|224471,"COG1554, ATH1, Trehalose and maltose hydrolases (possible phosphorylases) [Carbohydrate transport and metabolism].",ALV13291.1,"alpha,alpha-trehalase (EC 3.2.1.28); maltose phosphorylase (EC 2.4.1.8); trehalose phosphorylase (EC 2.4.1.64); kojibiose phosphorylase (EC 2.4.1.230); trehalose-6-phosphate phosphorylase (EC 2.4.1.-);",nan
1_31 ,36034,36483,-,WP_003641653.1,MULTISPECIES: pyridoxamine 5'-phosphate oxidase family protein [Lactobacillus],--,--,--,--,GO:0048037,cofactor binding,--,--,--,--,--
1_32 ,36681,36881,+,WP_003643615.1,MULTISPECIES: cold-shock protein [Lactobacillus],cspA,"cold shock protein (beta-ribbon, CspA family)",--,,GO:0003676,nucleic acid binding,gnl|CDD|224197,"COG1278, CspC, Cold shock proteins [Transcription].",--,--,--
1_33 ,36973,37197,+,WP_012778285.1,hypothetical protein [Lactobacillus plantarum],--,--,--,--,--,--,--,--,--,--,--
1_34 ,37771,38478,+,WP_003637294.1,MULTISPECIES: response regulator transcription factor [Lactobacillus],vicR,"two-component system, OmpR family, response regulator VicR",--,ko02020 Two-component system;,GO:0000160,phosphorelay signal transduction system,gnl|CDD|223816,"COG0745, OmpR, Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain [Signal transduction mechanisms / Transcription].",ABS01822.1,"cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenolÃ¯Â¿Â½mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)","Distant similarity to families GT12, GT21, GT27, GT55, GT81 etc."
1_35 ,38492,40366,+,WP_003641656.1,MULTISPECIES: cell wall metabolism sensor histidine kinase WalK [Lactobacillus],vicK,"two-component system, OmpR family, sensor histidine kinase VicK ",EC:2.7.13.3,ko02020 Two-component system;,GO:0000155,phosphorelay sensor kinase activity,gnl|CDD|227335,"COG5002, VicK, Signal transduction histidine kinase [Signal transduction mechanisms].",AAO76290.1,"cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenolÃ¯Â¿Â½mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)","Distant similarity to families GT12, GT21, GT27, GT55, GT81 etc."
1_36 ,40347,41672,+,WP_003641657.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,gnl|CDD|227200,"COG4863, COG4863, Uncharacterized protein conserved in bacteria [Function unknown].",--,--,--
1_37 ,41684,42538,+,WP_003641658.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,GO:0016021,integral component of membrane,gnl|CDD|227190,"COG4853, COG4853, Uncharacterized protein conserved in bacteria [Function unknown].",--,--,--
1_38 ,42900,43715,+,WP_003641659.1,MULTISPECIES: MBL fold metallo-hydrolase [Lactobacillus],--,--,--,--,--,--,gnl|CDD|224156,"COG1235, PhnP, Metal-dependent hydrolases of the beta-lactamase superfamily I [General function prediction only].",--,--,--
1_39 ,43826,45088,+,WP_003641660.1,MULTISPECIES: PDZ domain-containing protein [Lactobacillus],"degP, htrA",serine protease Do ,EC:3.4.21.107,ko01503 Cationic antimicrobial peptide (CAMP) resistance;ko02020 Two-component system;,GO:0004252,serine-type endopeptidase activity,gnl|CDD|223343,"COG0265, DegQ, Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain [Posttranslational modification, protein turnover, chaperones].",--,--,--
1_40 ,45643,46122,+,WP_003643636.1,MULTISPECIES: 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH [Lactobacillus],rlmH,23S rRNA (pseudouridine1915-N3)-methyltransferase ,EC:2.1.1.177,,GO:0006364,rRNA processing,gnl|CDD|224492,"COG1576, COG1576, Uncharacterized conserved protein [Function unknown].",--,--,--
1_41 ,46605,47180,+,WP_013355078.1,MULTISPECIES: TetR/AcrR family transcriptional regulator [Lactobacillus],--,--,--,--,GO:0003677,DNA binding,gnl|CDD|224228,"COG1309, AcrR, Transcriptional regulator [Transcription].",--,--,--
1_42 ,47246,48673,+,WP_033607859.1,MULTISPECIES: coniferyl aldehyde dehydrogenase [Lactobacillus],E1.2.1.68,coniferyl-aldehyde dehydrogenase ,EC:1.2.1.68,,GO:0006081,cellular aldehyde metabolic process,gnl|CDD|223944,"COG1012, PutA, NAD-dependent aldehyde dehydrogenases [Energy production and conversion].",--,--,--
1_43 ,48881,49513,+,WP_003646171.1,MULTISPECIES: uracil-DNA glycosylase family protein [Lactobacillus],--,--,--,--,--,--,gnl|CDD|224489,"COG1573, COG1573, Uracil-DNA glycosylase [DNA replication, recombination, and repair].",--,--,--
1_44 ,49762,50412,+,WP_003643638.1,MULTISPECIES: nitroreductase [Lactobacillus],--,--,--,--,GO:0016491,oxidoreductase activity,gnl|CDD|223849,"COG0778, NfnB, Nitroreductase [Energy production and conversion].",--,--,--
1_45 ,50527,50895,+,WP_003641666.1,MULTISPECIES: 6-pyruvoyltetrahydropterin synthase [Lactobacillus],"queD, ptpS, PTS",6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase ,EC:4.2.3.12 4.1.2.50,ko00790 Folate biosynthesis;,--,--,gnl|CDD|223792,"COG0720, COG0720, 6-pyruvoyl-tetrahydropterin synthase [Coenzyme metabolism].",--,--,--
1_46 ,50962,51609,-,WP_022638536.1,MULTISPECIES: elongation factor G-binding protein [Lactobacillus],--,--,--,--,--,--,--,--,--,--,--
1_47 ,51957,54326,-,WP_058906737.1,FAD-binding protein [Lactobacillus plantarum],--,--,--,--,GO:0010181,FMN binding,gnl|CDD|223508,"COG0431, COG0431, Predicted flavoprotein [General function prediction only].",--,--,--
1_48 ,54792,56207,+,WP_072533966.1,DASS family sodium-coupled anion symporter [Lactobacillus plantarum],TC.DASS,"divalent anion:Na+ symporter, DASS family",--,,GO:0005215,transporter activity,gnl|CDD|223547,"COG0471, CitT, Di- and tricarboxylate transporters [Inorganic ion transport and metabolism].",--,--,--
1_49 ,56317,56787,+,WP_045351547.1,LysR family transcriptional regulator [Lactobacillus plantarum],--,--,--,--,GO:0003700,DNA-binding transcription factor activity,gnl|CDD|223656,"COG0583, LysR, Transcriptional regulator [Transcription].",--,--,--
1_50 ,56812,57204,+,KZU37931.1,Malolactic regulator [Lactobacillus plantarum],--,--,--,--,--,--,--,--,--,--,--
1_51 ,57274,57699,-,WP_013355085.1,MULTISPECIES: flavoprotein [Lactobacillus],--,--,--,--,GO:0010181,FMN binding,--,--,--,--,--
1_52 ,58034,58459,+,WP_058906739.1,arsenate reductase (thioredoxin) [Lactobacillus plantarum],"ARSC2, arsC",arsenate reductase ,EC:1.20.4.1,,GO:0004725,protein tyrosine phosphatase activity,gnl|CDD|223471,"COG0394, Wzb, Protein-tyrosine-phosphatase [Signal transduction mechanisms].",--,--,--
1_53 ,58781,59641,+,WP_045351541.1,SDR family NAD(P)-dependent oxidoreductase [Lactobacillus plantarum],adc,acetoacetate decarboxylase ,EC:4.1.1.4,ko00072 Synthesis and degradation of ketone bodies;ko00640 Propanoate metabolism;,--,--,gnl|CDD|223959,"COG1028, FabG, Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases) [Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only].",--,--,--
1_54 ,59673,60518,+,WP_012778317.1,MULTISPECIES: acetoacetate decarboxylase [Lactobacillus],adc,acetoacetate decarboxylase ,EC:4.1.1.4,ko00072 Synthesis and degradation of ketone bodies;ko00640 Propanoate metabolism;,GO:0016829,lyase activity,gnl|CDD|227033,"COG4689, Adc, Acetoacetate decarboxylase [Secondary metabolites biosynthesis, transport, and catabolism].",--,--,--
1_55 ,60546,61199,+,4QLX_A,"Chain A, Crystal Structure Of Cla-er With Product Binding",--,--,--,--,GO:0016491,oxidoreductase activity,gnl|CDD|223849,"COG0778, NfnB, Nitroreductase [Energy production and conversion].",--,--,--
1_56 ,61369,62904,+,WP_013355088.1,MULTISPECIES: hypothetical protein [Lactobacillus],--,--,--,--,--,--,gnl|CDD|225306,"COG2508, COG2508, Regulator of polyketide synthase expression [Signal transduction mechanisms / Secondary metabolites biosynthesis, transport, and catabolism].",--,--,--
1_57 ,63234,63905,+,CDN29546.1,K01838 beta-phosphoglucomutase [Lactobacillus plantarum],pgmB,beta-phosphoglucomutase ,EC:5.4.2.6,ko00500 Starch and sucrose metabolism;,GO:0000287,magnesium ion binding,gnl|CDD|223710,"COG0637, COG0637, Predicted phosphatase/phosphohexomutase [General function prediction only].",AIQ71517.1,"alpha,alpha-trehalase (EC 3.2.1.28); maltose phosphorylase (EC 2.4.1.8); trehalose phosphorylase (EC 2.4.1.64); kojibiose phosphorylase (EC 2.4.1.230); trehalose-6-phosphate phosphorylase (EC 2.4.1.-);",nan
1_58 ,63991,65007,-,WP_011100864.1,MULTISPECIES: choloylglycine hydrolase family protein [Lactobacillus],E3.5.1.24,choloylglycine hydrolase ,EC:3.5.1.24,ko00120 Primary bile acid biosynthesis;ko00121 Secondary bile acid biosynthesis;,--,--,gnl|CDD|225591,"COG3049, COG3049, Penicillin V acylase and related amidases [Cell envelope biogenesis, outer membrane].",--,--,--
1_59 ,65280,66623,+,WP_003641680.1,MULTISPECIES: threonine/serine exporter family protein [Lactobacillus],--,--,--,--,--,--,gnl|CDD|225514,"COG2966, COG2966, Uncharacterized conserved protein [Function unknown].",--,--,--
1_60 ,66772,67518,+,WP_087842115.1,tyrosine-protein phosphatase [Lactobacillus plantarum],E3.1.3.48,protein-tyrosine phosphatase ,EC:3.1.3.48,,GO:0004725,protein tyrosine phosphatase activity,gnl|CDD|225240,"COG2365, COG2365, Protein tyrosine/serine phosphatase [Signal transduction mechanisms].",--,--,--
1_61 ,67591,69027,-,WP_003641682.1,MULTISPECIES: 4-hydroxyphenylacetate 3-hydroxylase [Lactobacillus],hpaB,4-hydroxyphenylacetate 3-monooxygenase ,EC:1.14.14.9,ko00350 Tyrosine metabolism;ko01220 Degradation of aromatic compounds;,GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",gnl|CDD|225243,"COG2368, COG2368, Aromatic ring hydroxylase [Secondary metabolites biosynthesis, transport, and catabolism].",--,--,--
1_62 ,69110,69559,-,ACT60969.1,conserved hypothetical protein [Lactobacillus plantarum JDM1],--,--,--,--,--,--,gnl|CDD|226838,"COG4405, COG4405, Uncharacterized protein conserved in bacteria [Function unknown].",--,--,--
1_63 ,69703,70371,+,WP_003643644.1,MULTISPECIES: type 1 glutamine amidotransferase [Lactobacillus],--,--,--,--,--,--,gnl|CDD|223592,"COG0518, GuaA, GMP synthase - Glutamine amidotransferase domain [Nucleotide transport and metabolism].",--,--,--
1_64 ,70444,71379,-,WP_022638068.1,MULTISPECIES: WYL domain-containing protein [Lactobacillus],--,--,--,--,GO:0003700,DNA-binding transcription factor activity,gnl|CDD|225253,"COG2378, COG2378, Predicted transcriptional regulator [Transcription].",--,--,--
1_65 ,71498,72145,+,WP_003643646.1,MULTISPECIES: FMN-dependent NADH-azoreductase 1 [Lactobacillus],"acpD, azoR",FMN-dependent NADH-azoreductase ,EC:1.7.-.-,,GO:0016661,"oxidoreductase activity, acting on other nitrogenous compounds as donors",gnl|CDD|224103,"COG1182, AcpD, Acyl carrier protein phosphodiesterase [Lipid metabolism].",--,--,--
1_66 ,72407,74425,+,WP_013355092.1,MULTISPECIES: GTP-binding protein [Lactobacillus],--,--,--,--,GO:0003924,GTPase activity,gnl|CDD|223556,"COG0480, FusA, Translation elongation factors (GTPases) [Translation, ribosomal structure and biogenesis].",--,--,--
1_67 ,74443,74724,+,ERO41858.1,hypothetical protein LPLWJ_09440 [Lactobacillus plantarum WJL],--,--,--,--,--,--,--,--,--,--,--
1_68 ,74758,75129,+,KRL97964.1,hypothetical protein FD10_GL002992 [Lactobacillus plantarum subsp. argentoratensis DSM 16365],--,--,--,--,--,--,--,--,--,--,--
